Cycles,Edge_count
AXIN2,1
"Destcompl,cateninnuc,TCFLEF,AXIN2",4
"GLI,SUFU,cateninnuc,TCFLEF",4
"GLI,SHH,Patched,SMO,FUS,SUFU",6
"cateninmemb,Ecadherin,cateninnuc",3
"TWIST1,Ecadherin,cateninnuc,TCFLEF",4
"SNAI2,Ecadherin,cateninnuc",3
"ZEB1,SMAD,HEY1,Ecadherin",4
"Jagged,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",6
"SNAI1,SMAD,HEY1,Ecadherin",4
"SNAI1,ZEB2,SMAD",3
"KLF4,ZEB2,SMAD,HEY1,Ecadherin",5
"SNAI1,miR200,ZEB2",3
"ZEB1,miR200,ZEB2,SMAD",4
"RAS,PI3K,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"TWIST1,NFB,IKK,AKT,ILK,SMAD,HEY1,Ecadherin",8
"GSK3,Csn,NFB,IKK,AKT",5
"SNAI1,TrCP,Csn,NFB,IKK,AKT,ILK,SMAD",8
"Destcompl,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc",8
"RAS,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"SNAI1,GSK3,AKT,ILK,SMAD",5
"ERK,GSK3,AKT,ILK,SMAD",5
"GLI,Wnt,Frizzled,DSH,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",12
"SNAI2,ERK,SMAD,HEY1,Ecadherin",5
"SNAI1,EGR1,cfos,ERK,SMAD",5
"TGFR,SOSGRB2,ERK,SMAD",4
"MEK,SOSGRB2,ERK",3
"RAS,SOSGRB2,ERK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",8
"CD44,cMet,SOSGRB2,ERK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"RAS,SRC,cMet,SOSGRB2",4
"KLF4,STAT,SRC,cMet,SOSGRB2,ERK,SMAD,HEY1,Ecadherin",9
"SNAI1,LIV1,STAT,SRC,cMet,SOSGRB2,ERK,SMAD",8
"SNAI1,RKIP,ERK,SMAD",4
"MEK,RKIP,ERK",3
"RAS,RAF,MEK,ERK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"TWIST1,TGF,TGFR,SMAD,HEY1,Ecadherin",6
"SNAI1,TGF,TGFR,SMAD",4
"GLI,TGF,TGFR,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",8
"SNAI1,PAK1,CDC42,TGFR,SMAD",5
"SNAI1,Csl,HEY1,Ecadherin",4
"Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,cateninnuc,TCFLEF",8
"RAS,DELTA,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"TWIST1,FOXC2,Ecadherin",3
"SNAI1,FOXC2,Ecadherin",3
"SNAI1,ZEB1,Ecadherin",3
"TWIST1,SNAI1,Ecadherin",3
"GLI,SNAI1,Ecadherin,cateninnuc,TCFLEF",5
"TWIST1,SNAI2,cateninnuc,TCFLEF",4
SNAI2,1
Destcompl,1
