Cycles,Edge_count
AXIN2,1
"Destcompl,cateninnuc,TCFLEF,AXIN2",4
"TWIST1,SNAI2,cateninnuc,TCFLEF",4
"Ecadherin,SNAI2,cateninnuc",3
SNAI2,1
"GSK3,SNAI1,EGR1,cfos,ERK",5
"Ecadherin,SNAI1,EGR1,cfos,ERK,SNAI2",6
"RKIP,SNAI1,EGR1,cfos,ERK",5
"TWIST1,SNAI1,EGR1,cfos,ERK,SNAI2",6
"GLI,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",8
"SMAD,SNAI1,EGR1,cfos,ERK",5
"GSK3,Csn,TrCP,SNAI1",4
"TWIST1,NFB,Csn,TrCP,SNAI1",5
"GSK3,AKT,IKK,NFB,Csn",5
"RAS,PI3K,AKT,IKK,NFB,Csn,TrCP,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",14
"SMAD,ILK,AKT,IKK,NFB,Csn,TrCP,SNAI1",8
"SMAD,TGFR,CDC42,PAK1,SNAI1",5
"SOSGRB2,TGFR,CDC42,PAK1,SNAI1,EGR1,cfos,ERK",8
"TGF,TGFR,CDC42,PAK1,SNAI1",5
"RAS,SRC,STAT,LIV1,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",11
"CD44,cMet,SRC,STAT,LIV1,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",12
"SOSGRB2,cMet,SRC,STAT,LIV1,SNAI1,EGR1,cfos,ERK",9
"Ecadherin,KLF4,STAT,LIV1,SNAI1",5
"ZEB2,KLF4,STAT,LIV1,SNAI1",5
"ZEB1,miR200,SNAI1",3
"ZEB2,miR200,SNAI1",3
"SMAD,ZEB2,SNAI1",3
"Ecadherin,ZEB1,SNAI1",3
"SMAD,ZEB1,SNAI1",3
"TWIST1,TGF,SNAI1",3
"GLI,TGF,SNAI1",3
"TWIST1,FOXC2,SNAI1",3
"Ecadherin,FOXC2,SNAI1",3
"Ecadherin,HEY1,Csl,SNAI1",4
"SMAD,HEY1,Csl,SNAI1",4
"Jagged,NOTCH,NOTCHic,Csl,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",11
"RAS,DELTA,NOTCH,NOTCHic,Csl,SNAI1,EGR1,cfos,ERK,SNAI2,cateninnuc,TCFLEF",12
"MEK,SOSGRB2,ERK",3
"RAS,SOSGRB2,ERK,SNAI2,cateninnuc,TCFLEF",6
"Jagged,SMAD,ERK,SNAI2,cateninnuc,TCFLEF",6
"GLI,SHH,SMAD,ERK,SNAI2,cateninnuc,TCFLEF",7
"SUFU,FUS,SMO,Patched,SHH,SMAD,ERK,SNAI2,cateninnuc",9
"MEK,RKIP,ERK",3
"Destcompl,GSK3,ERK,SNAI2,cateninnuc",5
"RAS,GSK3,ERK,SNAI2,cateninnuc,TCFLEF",6
"GLI,Wnt,Frizzled,DSH,GSK3,ERK,SNAI2,cateninnuc,TCFLEF",9
"RAS,RAF,MEK,ERK,SNAI2,cateninnuc,TCFLEF",7
"GLI,SUFU,cateninnuc,TCFLEF",4
"Ecadherin,cateninmemb,cateninnuc",3
"TWIST1,Ecadherin,cateninnuc,TCFLEF",4
Destcompl,1
