Cycles,Edge_count
AXIN2,1
"Destcompl,cateninnuc,TCFLEF,AXIN2",4
"GLI,SUFU,cateninnuc,TCFLEF",4
"GLI,SHH,Patched,SMO,FUS,SUFU",6
"SNAI1,ZEB2,SMAD",3
"SNAI1,miR200,ZEB2",3
"ZEB1,miR200,ZEB2,SMAD",4
"Ecadherin,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",10
"RAS,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",13
"CD44,cMet,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",14
"TGFR,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"ERK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"RAS,SOSGRB2,cMet,SRC",4
"ERK,MEK,SOSGRB2",3
"SNAI1,RKIP,MEK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2",9
"ERK,RKIP,MEK",3
"RAS,RAF,MEK,SOSGRB2",4
"SNAI1,LIV1,STAT,KLF4,ZEB2",5
"Ecadherin,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"TWIST1,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",10
"ZEB1,SNAI1,SMAD",3
"GLI,SNAI1,SMAD,SHH",4
"GSK3,Csn,TrCP,SNAI1",4
"TWIST1,NFB,Csn,TrCP,SNAI1",5
"ILK,AKT,IKK,NFB,Csn,TrCP,SNAI1,SMAD",8
"GSK3,AKT,IKK,NFB,Csn",5
"RAS,PI3K,AKT,IKK,NFB,Csn,TrCP,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",16
"TGFR,CDC42,PAK1,SNAI1,SMAD",5
"ERK,cfos,EGR1,SNAI1,SMAD",5
"TWIST1,TGF,SNAI1",3
"GLI,TGF,SNAI1",3
"TGFR,TGF,SNAI1,SMAD",4
"TWIST1,FOXC2,SNAI1",3
"Ecadherin,FOXC2,SNAI1",3
"Destcompl,GSK3,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",10
"RAS,GSK3,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",11
"ERK,GSK3,SNAI1,SMAD",4
"GLI,Wnt,Frizzled,DSH,GSK3,SNAI1",6
"HEY1,Csl,SNAI1,SMAD",4
"Jagged,NOTCH,NOTCHic,Csl,SNAI1,SMAD",6
"RAS,DELTA,NOTCH,NOTCHic,Csl,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",14
"Ecadherin,HEY1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"SNAI2,ERK,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"Ecadherin,ZEB1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"cateninmemb,Ecadherin,cateninnuc",3
"TWIST1,Ecadherin,cateninnuc,TCFLEF",4
"SNAI2,Ecadherin,cateninnuc",3
"TWIST1,SNAI2,cateninnuc,TCFLEF",4
SNAI2,1
Destcompl,1
