Cycles,Edge_count
AXIN2,1
"Destcompl,cateninnuc,TCFLEF,AXIN2",4
"GLI,SUFU,cateninnuc,TCFLEF",4
"GLI,SHH,Patched,SMO,FUS,SUFU",6
"Jagged,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",9
"SNAI1,ZEB2,SMAD",3
"SNAI1,miR200,ZEB2",3
"ZEB1,miR200,ZEB2,SMAD",4
"Ecadherin,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",10
"CD44,cMet,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",14
"TGFR,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"ERK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"RAS,SOSGRB2,cMet,SRC",4
"ERK,MEK,SOSGRB2",3
"SNAI1,RKIP,MEK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2",9
"ERK,RKIP,MEK",3
"RAS,RAF,MEK,SOSGRB2",4
"Destcompl,GSK3,RAS,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",14
"SNAI1,GSK3,RAS,SRC,STAT,KLF4,ZEB2",7
"ERK,GSK3,RAS,SRC,STAT,KLF4,ZEB2,SMAD",8
"GLI,Wnt,Frizzled,DSH,GSK3,RAS,SRC,STAT,KLF4,ZEB2,SMAD,SHH",12
"SNAI1,TrCP,Csn,GSK3",4
"TWIST1,NFB,Csn,GSK3,RAS,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",17
"AKT,IKK,NFB,Csn,GSK3",5
"ILK,AKT,GSK3,RAS,SRC,STAT,KLF4,ZEB2,SMAD",9
"PI3K,AKT,GSK3,RAS",4
"Jagged,NOTCH,DELTA,RAS,SRC,STAT,KLF4,ZEB2,SMAD",9
"HEY1,Csl,NOTCHic,NOTCH,DELTA,RAS,SRC,STAT,KLF4,ZEB2,SMAD",11
"SNAI1,Csl,NOTCHic,NOTCH,DELTA,RAS,SRC,STAT,KLF4,ZEB2",10
"SNAI1,LIV1,STAT,KLF4,ZEB2",5
"Ecadherin,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"TWIST1,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",10
"ZEB1,SNAI1,SMAD",3
"GLI,SNAI1,SMAD,SHH",4
"TGFR,CDC42,PAK1,SNAI1,SMAD",5
"ERK,cfos,EGR1,SNAI1,SMAD",5
"TWIST1,TGF,SNAI1",3
"GLI,TGF,SNAI1",3
"TGFR,TGF,SNAI1,SMAD",4
"TWIST1,FOXC2,SNAI1",3
"Ecadherin,FOXC2,SNAI1",3
"Ecadherin,HEY1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"SNAI2,ERK,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"Ecadherin,ZEB1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"cateninmemb,Ecadherin,cateninnuc",3
"TWIST1,Ecadherin,cateninnuc,TCFLEF",4
"SNAI2,Ecadherin,cateninnuc",3
"TWIST1,SNAI2,cateninnuc,TCFLEF",4
SNAI2,1
Destcompl,1
