Cycles,Edge_count
AXIN2,1
Destcompl,1
"SNAI1,EGR1,cfos,ERK,GSK3",5
"MEK,SOSGRB2,ERK",3
"RAS,SOSGRB2,ERK,GSK3",4
"RAS,SRC,cMet,SOSGRB2",4
"SNAI1,LIV1,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",8
"SNAI1,ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",9
"SMAD,ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,ERK",8
"SNAI1,miR200,ZEB2",3
"SNAI1,ZEB1,miR200",3
"Ecadherin,ZEB1,miR200,ZEB2,KLF4",5
"SMAD,ZEB1,miR200,ZEB2",4
"cateninnuc,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3,Destcompl",10
"SNAI2,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK",8
"SNAI1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",9
"SMAD,HEY1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK",9
"SNAI1,Csl,HEY1,Ecadherin",4
"SMAD,Jagged,NOTCH,NOTCHic,Csl,HEY1",6
"CD44,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,KLF4,STAT,SRC,cMet",12
"RAS,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,KLF4,STAT,SRC",11
"TWIST1,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin",8
"cateninnuc,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin",8
"SNAI1,GLI,TCFLEF,Jagged,NOTCH,NOTCHic,Csl",7
"cateninnuc,SUFU,GLI,TCFLEF",4
"SHH,Patched,SMO,FUS,SUFU,GLI",6
"DSH,Frizzled,Wnt,GLI,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",18
"TWIST1,TGF,GLI,TCFLEF",4
"SNAI1,TGF,GLI",3
"TGFR,TGF,GLI,TCFLEF,Jagged,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2",15
"SMAD,SHH,GLI,TCFLEF,Jagged",5
"RAS,DELTA,NOTCH,NOTCHic,Csl,HEY1,Ecadherin,KLF4,STAT,SRC",10
"TWIST1,FOXC2,Ecadherin",3
"SNAI1,FOXC2,Ecadherin",3
"SNAI2,TWIST1,Ecadherin",3
"SNAI1,TWIST1,Ecadherin",3
"Csn,NFB,TWIST1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",11
"AKT,IKK,NFB,TWIST1,Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",12
"cateninnuc,cateninmemb,Ecadherin",3
"SMAD,TGFR,SOSGRB2,ERK",4
"SNAI1,PAK1,CDC42,TGFR,SOSGRB2,ERK,GSK3",7
"cateninnuc,SNAI2,ERK,GSK3,Destcompl",5
SNAI2,1
"SNAI1,SMAD,ERK,GSK3",4
"AKT,ILK,SMAD,ERK,GSK3",5
"SNAI1,RKIP,ERK,GSK3",4
"MEK,RKIP,ERK",3
"RAS,RAF,MEK,ERK,GSK3",5
"Csn,TrCP,SNAI1,GSK3",4
"AKT,PI3K,RAS,GSK3",4
