Cycles,Edge_count
AXIN2,1
"Ecadherin,SNAI1,TWIST1",3
"FOXC2,SNAI1,TWIST1",3
"TGF,SNAI1,TWIST1",3
"GLI,SNAI1,TWIST1,TCFLEF",4
"NFB,Csn,TrCP,SNAI1,TWIST1",5
"GSK3,Csn,TrCP,SNAI1",4
"SMAD,TGFR,CDC42,PAK1,SNAI1",5
"TGF,TGFR,CDC42,PAK1,SNAI1",5
"RAS,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1,TCFLEF",8
"CD44,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1,TCFLEF",9
"RAS,SRC,cMet,SOSGRB2",4
"LIV1,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",9
"Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",10
"ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",10
"ERK,MEK,SOSGRB2",3
"RKIP,MEK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"RAS,RAF,MEK,SOSGRB2",4
"GSK3,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"RKIP,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"SMAD,ERK,SOSGRB2,TGFR",4
"SNAI2,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1",8
"EGR1,cfos,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",8
"ZEB1,SMAD,SNAI1",3
"Jagged,SMAD,SNAI1,TWIST1,TCFLEF",5
"ZEB2,SMAD,SNAI1",3
"GLI,SHH,SMAD,SNAI1",4
"GLI,SUFU,FUS,SMO,Patched,SHH",6
"Destcompl,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1,TWIST1,TCFLEF,AXIN2",12
"SNAI2,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1,TWIST1",10
"Ecadherin,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1",9
"Ecadherin,cateninmemb,cateninnuc",3
"GSK3,AKT,ILK,SMAD,SNAI1",5
"RAS,PI3K,AKT,ILK,SMAD,SNAI1,TWIST1,TCFLEF",8
"NFB,IKK,AKT,ILK,SMAD,SNAI1,TWIST1",7
"Csl,HEY1,SMAD,SNAI1",4
"Ecadherin,HEY1,SMAD,SNAI1",4
"ZEB1,miR200,SNAI1",3
"ZEB2,miR200,SNAI1",3
"Ecadherin,ZEB1,SNAI1",3
"Destcompl,GSK3,SNAI1,TWIST1,TCFLEF,AXIN2",6
"RAS,GSK3,SNAI1,TWIST1,TCFLEF",5
"GLI,Wnt,Frizzled,DSH,GSK3,SNAI1",6
"Jagged,NOTCH,NOTCHic,Csl,SNAI1,TWIST1,TCFLEF",7
"RAS,DELTA,NOTCH,NOTCHic,Csl,SNAI1,TWIST1,TCFLEF",8
"GLI,TGF,TWIST1,TCFLEF",4
"Ecadherin,SNAI2,TWIST1",3
SNAI2,1
"Ecadherin,FOXC2,TWIST1",3
Destcompl,1
