"","miR101","ZEB2","SNAI2","miR34a","miR200b","miR200a","CDH1","OVOL2","TWIST1","NP63","TGFbeta","GSC","miR200c","miR205","TCF3","FOXC2","GRHL2","miR141","CLDN7","ZEB1","SNAI1","KLF8","TWIST2"
"miR101",-0.0231279469037738,-0.132076645181389,0.0665911960191964,0.0965985542659211,0.13481767986265,0.160151529734157,-0.0162381477324386,0.0908921530137852,0.00721166207069322,0.0342566211134767,0.00093780284698341,0.000933610642806297,0.0339920365754754,-0.034437704464306,-0.00726513042070359,0.0246029137639761,-0.192075162430017,-0.194976487436871,-0.194976487436871,-0.195052292453185,0.00228812961331898,-0.0769903506744488,-0.0281305921081025
"ZEB2",-0.0860816840914661,-0.066646312880778,-0.0544842820480109,-0.049775019536054,-0.0401118322841845,-0.0348813323155846,-0.0311358663272303,-0.0214062419608299,-0.015120479210365,-0.0102859134154421,-0.00624664242853195,-0.00609946497193083,0.0016608669972914,0.0105957987578654,0.0149499886847671,0.0289522455974315,0.0361694249662885,0.0377443665042013,0.0377443665042013,0.0379297158078526,0.0381988960622933,0.0864446262096559,0.0907466418908936
"miR200a",0.00882056438709308,-0.0490609413208057,0.0895362639903332,0.129476398338409,0.0997927871181498,0.135662099706007,0.0040902883374241,0.0783131827707567,0.0674547440511178,0.0526628844279402,-0.104481284826164,-0.104447197015965,0.091705908615349,-0.0524354097522693,-0.0675153796900843,0.0838822214365149,-0.215934706035802,-0.224188800456725,-0.224188800456725,-0.224065820640145,0.0544045407582977,-0.00853959468139083,-0.102381840226422
"TWIST1",0.0309657350268583,-0.045698676126537,0.0260180407739494,0.0711249618857595,0.0481066868553093,0.0679284839564704,-0.0672631757069646,0.0587226314246658,0.121066640875247,0.0213147983789404,0.00394354156336399,0.00401153914427954,0.00903193415940208,-0.020933778660188,-0.221077261182909,0.0732483105089296,-0.077935760801286,-0.0811210034868934,-0.0811210034868934,-0.0809296087237798,-0.0400747601492481,-0.0305793385721454,-0.0982090098721719
"OVOL2",0.0958839715783291,-0.0396109962166698,0.100564819933109,0.0981038455470705,0.0148221199917878,0.134400641826557,0.0730806397536844,-0.0380373726932105,0.0571284487631562,0.0280450851602623,-0.0273112026545053,-0.0273132694534471,0.104528796034375,-0.0278884283251625,-0.0571176581725512,0.0894857495820984,-0.0886098961645436,-0.131009104023458,-0.131009104023458,-0.130922827904552,0.0659171811923367,-0.0956701159254113,-0.120112454026778
"KLF8",0.0174616940012103,-0.0394783738063734,0.0235257954766664,0.0694804424685562,0.0411255174384512,0.0735753469629015,0.0971255904210189,0.0703794954261263,0.0977867364809289,0.0219797687861272,-0.00470280884120573,-0.00492031835724706,0.0368532923183458,-0.0225,-0.0982223608758951,0.032096459593802,-0.10870636780112,-0.110544147896944,-0.110544147896944,-0.110584377571815,-0.0115991009039746,-0.0173275858206113,-0.0482591342970568
"SNAI2",0.01752286902743,-0.0393210663276032,-0.0765392837566945,0.0694854378621794,0.0412191030132986,0.0737326217315088,-0.00278340745321143,0.0704024377139996,0.097878463154214,0.0221175746247357,-0.00473477800731712,-0.0047662333558036,0.036673720888275,-0.0221338519910578,-0.0978557935858426,0.0319331044962643,-0.108730633273189,-0.110525017060993,-0.110525017060993,-0.110565637577954,-0.0116084514006641,-0.0176137434334513,-0.0483287141036827
"CDH1",0.0176137434334513,-0.039099847387456,0.0233885666607101,0.0695281245877615,0.0413104095354235,0.0739256431223818,-0.00269532886000519,0.0704750242129108,0.0978557935858426,0.0221338519910578,-0.0047662333558036,-0.00470280884120573,0.0365497023134629,-0.0219797687861272,-0.0977867364809289,0.031947107780671,-0.108800514475146,-0.110584377571815,-0.110584377571815,-0.110525017060993,-0.0115991009039746,-0.0174616940012103,-0.0484135419332163
"SNAI1",-0.0305227414925288,-0.0370929102059783,0.0680298504632282,-0.0270159848863183,0.0216095634058152,0.0622668348611395,-0.0539281819726362,0.0666774763381612,-0.0235683292023812,0.00875529228600781,-0.0068500839891115,-0.00679095223067351,0.0100531330590241,-0.00842571620171475,0.0235473808018683,0.038971639565775,-0.0760462012338642,-0.0773105217446129,-0.0773105217446129,-0.077142588176816,-0.0691305197422085,0.0308574901502585,0.00568204415584984
"GSC",0.0391599599814355,-0.0223337565079573,-0.0527324273885457,-0.0470608339102046,-0.0280913575715459,-0.0506009580203976,0.0538589765323638,-0.0864580226545383,-0.103810697857306,-0.0188490557458748,0.018604082576363,0.0186792608956691,-0.0835968934896578,0.0192724355041077,0.103783544777828,-0.147332578814377,0.130427580672639,0.130889817126638,0.130889817126638,0.131087464185461,-0.0224401417755513,-0.0387916538001275,0.0346595378779413
"miR141",-0.00971509232048921,-0.00311915501362995,0.0693552014210689,0.111155697177389,0.0412667543444333,0.104501687169855,-0.0768726444056195,0.0701637378059194,0.0613183946430438,0.0493396083475594,-0.114865887506236,-0.114921564262894,0.102892411898605,-0.0493538255147889,-0.0612548011680302,0.0946845479357859,-0.200993769976974,-0.206572449131603,-0.206572449131603,-0.206588295895627,0.066865562945638,0.00971149014477508,-0.0802675078179396
