"","SNAI2","TWIST2","KLF8","ZEB2","miR34a","OVOL2","miR200a","TWIST1","GSC","miR200b","miR141","CLDN7","GRHL2","NP63","miR205","FOXC2","ZEB1","TGFbeta","TCF3","miR200c","SNAI1","CDH1","miR101"
"GSC",-0.00460111234533035,0.0160824470155434,0.149621170953395,-0.174386519299144,-0.0545913261198195,0.0776265620258729,0.112237975507721,-0.102706446184526,0.0616237447892385,0.0389776228965646,0.0665270810841055,0.0665270810841055,0.0650842804309967,0,0,-0.244689480718398,-0.0666072017477556,-0.0612441859576196,0.102406165070291,-0.112237975507721,0.207939394711969,-0.0101600979818133,-0.149797529204233
"miR34a",-0.146944505889681,-0.195927777146902,0.0196336858214163,-0.124322025833754,-0.079452178299224,-0.0314098590434622,0.0163406263586966,-0.0511710745717913,-0.0313624349991682,0.106508943577721,0.0106459704253702,0.0106459704253702,0.00962651714729746,0,0,-0.174533883567795,-0.0105029511237137,0.0311373687766,0.0514316778171284,-0.0163406263586966,0.221739566312581,0.0205244085584649,-0.0193955174133032
"SNAI1",-0.0956656621351523,0.00126864118388834,0.0977049858860154,-0.120775479673752,-0.0970307810380403,0.097669291738021,0.10676198972099,-0.182484982652896,0.0553980128301983,0.0406923734151572,0.0965229581713425,0.0965229581713425,0.0967690276918737,0,0,-0.209242043914133,-0.0965533020297996,-0.0552885312576448,0.18241907183177,-0.10676198972099,0.0802305198911203,0.033192649970093,-0.097773932254476
"TWIST1",0.0196211234460585,0.0841279503352739,0.0569545869085466,-0.113108481627937,-0.0511021598235548,-0.0452773040976464,0.060914461256489,-0.182960619674768,0.0107050953578193,0.0347035919863255,-0.00777446108112898,-0.00777446108112898,-0.00705443265738427,0,0,-0.103805070028643,0.00780123907184183,-0.0109253824517531,0.0831133887157543,-0.060914461256489,0.181555833228316,0.0666106817435463,-0.0568858720751054
"ZEB2",-0.10055015549498,-0.0933031366853514,-0.0908506602759054,-0.072765401153208,-0.0222842455314588,-0.0172941409347849,-0.0152188880976908,-0.0147757891824443,-0.010928713424709,-0.00864860360076274,-0.00107572901422585,-0.00107572901422585,-0.000978215173771605,0,0,0.000397129363151854,0.00110592499349619,0.0117889933697792,0.0144916383064477,0.0152188880976908,0.0261842175254804,0.0331690915476236,0.0905632896672564
"NP63",0.0678566126238282,0.055782620454442,0.0371164989429492,-0.0591984675699198,-0.029690791703672,0.134921134796109,-0.0149742178864917,-0.0580828585186869,0.0863331853259328,-0.0623094126733315,-0.0528548487489867,-0.0528548487489867,-0.201779686411424,0.257988251503474,-0.357896892948014,-0.0125557644119283,0.052536261795784,-0.0867405591341932,0.058080614605302,0.0149742178864917,-0.0387619235647751,0.0964515164382172,-0.0372672747530265
"TCF3",-0.0297745709686068,-0.038245579632933,-0.00605893963767369,-0.03715513719254,0.00898098355894819,0.0610151718055258,0.0347765563551127,0.0575269623245796,0.0252288146547744,0.00937277401488722,0.0335456523628428,0.0335456523628428,0.0326848336219072,0,0,0.00266916832600292,-0.0350707227647738,-0.0236518706634748,-0.0559296728763704,-0.0347765563551127,0.0305592754525355,0.0831942328755739,0.00556720964214396
"miR200a",0.138511275005327,0.0313672105283001,0.033568794376949,-0.0370757125039422,0.0914532984820469,0.0616466784699163,0.0130792754069497,0.0894278352445012,0.132183717179267,-0.0240499488488305,-0.00674022364823548,-0.00674022364823548,-0.00587786363272356,0,0,0.0094553975854476,0.00677392592101855,-0.131814432568777,-0.0899587668149643,-0.0130792754069497,-0.0740184091489241,-0.0671261411666614,-0.0338587695219366
"miR141",0.138511275005327,0.0313672105283001,0.033568794376949,-0.0370757125039422,0.0914532984820469,0.0616466784699163,0.0130792754069497,0.0894278352445012,0.132183717179267,-0.0240499488488305,-0.00674022364823548,-0.00674022364823548,-0.00587786363272356,0,0,0.0094553975854476,0.00677392592101855,-0.131814432568777,-0.0899587668149643,-0.0130792754069497,-0.0740184091489241,-0.0671261411666614,-0.0338587695219366
"miR200b",-0.0658890478183158,-0.0511165794718308,0.0227483098708726,-0.0367467229368916,0.00988253544595847,0.0700963675458834,0.0232290353630671,-0.0616606967811922,-0.076756577676956,0.0378976736038125,0.0109533935655577,0.0109533935655577,0.0103706232505946,0,0,-0.0476803730898512,-0.0111602942733054,0.077196310428524,0.061286530521228,-0.0232290353630671,0.102962726206319,-0.0761822256980612,-0.0231589579022836
