"","TWIST2","miR101","ZEB2","TWIST1","miR200b","TCF3","miR200c","OVOL2","CDH1","GSC","miR205","GRHL2","miR34a","ZEB1","miR141","CLDN7","NP63","FOXC2","TGFbeta","SNAI1","miR200a","KLF8","SNAI2"
"GSC",0.125732073596905,-0.0276658704553858,-0.136488759283481,0.2723242872364,0.0708592005091856,0.270348501394335,0.087167700766594,-0.0668718132086294,0.0572030481290617,0.00608651749762826,-0.0627845777332733,0.0550611716606365,0.0729365472270511,-0.0508375032380308,-0.0507909270691017,-0.0507909270691017,0.0621408872411183,-0.083022452256459,-0.00661337693861939,-0.133383449990573,-0.087167700766594,0.0266213619200362,-0.151308876523208
"TWIST1",0.211289936606086,0.146486210240422,-0.129510937457695,0.15571991084014,0.164369073958254,0.254702812144804,0.0140612347399341,0.0945357974142594,0.10343122177756,0.073928975397128,0.0995547035891526,-0.107339703311741,-0.0216183265156352,0.0959677266727358,0.0958049609135181,0.0958049609135181,-0.0997078970843211,0.095327292466057,-0.0741849847225105,-0.00399627819773395,-0.0140612347399341,-0.146999081823353,-0.272470622652821
"ZEB2",-0.12793037771368,-0.122986651795315,-0.076580861453974,-0.0395632448396721,-0.0383218674239808,-0.037684601619512,-0.0161231902096202,-0.0139731763416891,-0.0122773745321039,-0.0103248424267093,-0.0085441210062708,-0.00236912445937984,-0.000802635061568532,0.00401474251951072,0.00412693408476717,0.00412693408476717,0.009078673221951,0.00953264399143816,0.0108390398169266,0.0144186673026808,0.0161231902096202,0.12404763601479,0.146767411184533
"OVOL2",0.150312376119379,0.138554071349839,-0.0426956138238322,0.0966504882135082,0.101762776853649,0.0988841404687416,0.0277101171652412,-0.0474724331033719,0.0648294613669325,0.0454684908489107,0.0364751981307155,0.00289320013846548,0.00584512364775013,-0.0186084047222281,-0.0186675072603764,-0.0186675072603764,-0.0355449806478127,-0.0397923121179164,-0.0448512068982934,-0.0583125150856095,-0.0277101171652412,-0.13714043064927,-0.158765808701258
"miR200b",0.122557950088711,0.0146761459909957,-0.0256136859267589,0.159394546959831,0.0539073460416302,0.159322079976676,0.0115018684560242,-0.0630111353756055,0.0145017530288545,0.107717732997308,-0.0530558239466834,0.00969133907470644,0.0986378673727772,-0.000344552218308,-3.1857621161757e-05,-3.1857621161757e-05,0.0523627370442487,-0.0630229351263151,-0.108057474838958,-0.122763665532708,-0.0115018684560242,-0.0146437264095685,-0.133512217696091
"miR141",0.122557950088711,0.0146761459909957,-0.0256136859267589,0.159394546959831,0.0539073460416302,0.159322079976676,0.0115018684560242,-0.0630111353756055,0.0145017530288545,0.107717732997308,-0.0530558239466834,0.00969133907470644,0.0986378673727772,-0.000344552218308,-3.1857621161757e-05,-3.1857621161757e-05,0.0523627370442487,-0.0630229351263151,-0.108057474838958,-0.122763665532708,-0.0115018684560242,-0.0146437264095685,-0.133512217696091
"CDH1",0.253652552580965,0.266293738031416,-0.0222133544214749,0.10095092852175,0.192927873813767,0.104069122412852,0.0615539751824065,-0.099828510973264,-0.113001328044946,0.17534009501426,-0.104019016503309,0.110738561329535,0.0271575011434553,-0.101180691338946,-0.101204756410901,-0.101204756410901,0.103710850093448,0.085602046890777,-0.175313497637171,0.0849362271068316,-0.0615539751824065,-0.264892942198218,-0.252120234605991
"ZEB1",0.00230343108503856,0.0836341829232264,-0.0219944797274284,-0.0402368747986385,0.021058326541062,-0.0421448474199825,0.0112961928575342,0.0605950995162708,0.0559584435801464,0.0206373099413897,0.0496215774447945,-0.00638957657117568,0.0147830513739893,-0.106164477842492,-0.00609494774777676,-0.00609494774777676,-0.049862984503077,0.0646690555976021,-0.0208918361864072,0.0530519202675808,-0.0112961928575342,-0.0846173197026819,-0.0972996009838811
"FOXC2",0.00283619189928793,0.0846173197026819,-0.0214338886963801,-0.0421448474199825,0.0213594391701805,-0.0397056856353949,0.011789685479869,0.0604228335375997,0.0558312684668691,0.0216392530379692,0.0513293573309425,-0.00640128577498759,0.0143268659645842,-0.00609494774777676,-0.0062960215584443,-0.0062960215584443,-0.0496215774447945,0.0668493578806023,-0.0206373099413897,0.0516789528070985,-0.011789685479869,-0.0828799902262771,-0.0971753493989845
"miR205",0.0448030612036366,-0.0421570879872969,-0.00400089964667994,0.0713956906452195,0.000497021518732354,0.0703413683355947,-0.000296645347912837,-0.0593523517578888,0.0112966494540263,-0.0042822412535281,-0.0494318862595133,0.00518518844534703,-0.0109048911286566,0.0034798750972073,0.00374571030422336,0.00374571030422336,0.0483814452724952,-0.0793044801668349,0.00372677386739891,-0.0699494641308067,0.000296645347912837,0.0414474065303847,0.0371787126835664
