"","SNAI2","TWIST2","ZEB2","TWIST1","SNAI1","miR34a","TGFbeta","GSC","ZEB1","GRHL2","miR141","CLDN7","miR200b","FOXC2","miR200a","miR200c","miR205","NP63","OVOL2","CDH1","TCF3","KLF8","miR101"
"ZEB2",-0.0859128566810823,-0.0857340014952652,-0.0849680127843632,-0.0209729971455393,-0.0151697717062143,-0.00631750629721606,-0.00353649202755323,-0.00329448056125933,-0.0017815834834956,-0.000194300033572416,0.00169836041867735,0.00169836041867735,0.0047460904830293,0.00791087036322721,0.00795268956568864,0.00841224634271421,0.0115103729577332,0.0117505340981113,0.017967593230893,0.0207673584003691,0.0209811157419963,0.0971600558728632,0.0973221368735891
"SNAI1",-0.151843283415617,-0.0348476364417231,-0.0429520941875934,0.0156260706064433,-0.0659027518065653,-0.105924197402583,-0.0749484074731455,-0.0749876334911192,-0.0951042008360762,0.0898061611924366,0.095153692981804,0.095153692981804,0.0987175736433631,-0.0469536269763261,0.0201445983461551,-0.0742322637690579,0.0935773180439065,0.0935074822193537,0.0960921143343284,0.141216334631635,-0.0159290560089847,0.0199660499915875,0.0199850804371807
"miR34a",0.000239503334580436,-0.186614019476861,-0.0244455258559221,-0.153902707743229,-0.123072039865855,0.152293635486299,0.11624946131026,0.11685466619293,0.170552970970762,-0.15341145814571,-0.170873039125051,-0.170873039125051,-0.0541507905849353,0.0635755800336256,-0.15222844808745,0.131946049717376,-0.149018024489193,-0.148153263954063,-0.145371750634234,-0.0532541148580828,0.154279834494034,0.04402381951215,0.0438250257198943
"miR141",-0.0755044260695135,-0.0710152693169755,-0.0192790409946979,0.023150405812293,0.0428390122057422,0.0410581699941435,-0.076711539145831,-0.0760684157934085,0.0295816270868799,-0.0142743021302652,-0.0299943125330779,-0.0299943125330779,0.0194617199924645,-0.0291068135500527,-0.0255438988085254,0.00795113810855569,-0.0698825270893181,-0.0689477483439831,-0.0905242490542811,-0.0543803171775886,-0.0225248234883212,0.00401330188293877,0.00388722573294417
"ZEB1",0.109091196863911,-0.0148754491323897,-0.0178515431548865,-0.127282901678922,-0.149328582871438,0.0549753664727625,0.0570238182920168,0.0567537414767736,-0.0732058247916568,-0.00645723298368904,-0.0266197591929721,-0.0266197591929721,-0.0449007730909963,0.135724223581156,-0.0240154445218089,0.0118914516387742,-0.0637858944310088,-0.0641595005926366,-0.0869009145846401,-0.122220474097993,0.127157306000855,-0.0378031128478459,-0.0378405866712781
"miR200b",-0.105191065588369,-0.0916823266565504,-0.0107283529166384,0.0141480285727699,0.0392579518696912,0.0364656411199244,-0.0747422260892523,-0.0744979301161589,0.0238581869854359,-0.0104883025047562,-0.0241998967843159,-0.0241998967843159,-0.00750616649451043,-0.0267938349849346,-0.0188453165349215,0.00848460149150078,-0.0639069225348831,-0.0633844416392016,-0.083892693908757,0.0210118774933708,-0.0133627231022522,0.0254327982716701,0.0251878503231092
"SNAI2",0.135366649466997,0.259715235846906,-0.00759475298685317,0.146918525146894,-0.00496547527975799,-0.0768839335545747,0.129538687237622,0.129843330133238,-0.132142959608104,0.119849474755606,0.132152386310352,0.132152386310352,-0.164357082128045,0.0497528226984171,0.0627323850746724,-0.0720707720754525,0.119938553239123,0.120060633486539,0.120236047321248,-0.190204825326788,-0.146703164247366,-0.218715957726402,-0.218117296563071
"miR200c",0.222739853334893,0.079928055816985,-0.00744523724280665,-0.119018583345835,-0.147640711743773,0.12651893303943,0.141545542952385,0.142634080358075,0.0149948021808594,-0.00236068798098058,-0.0153998990358347,-0.0153998990358347,-0.0717092906266216,0.0991204500250779,-0.0114220601709279,0.00507025593640177,-0.0602861943358698,-0.0590030949934138,-0.0816741312189855,-0.145718038165364,0.119593882457005,-0.0650400993046131,-0.0648617916067636
"TCF3",0.236774755484385,0.261710149437424,-0.0073365578754984,0.146283509532891,-0.00532634300010829,-0.0764910862819791,0.129247958076851,0.132492475024468,-0.132620853044401,0.120204155050736,0.132309987374942,0.132309987374942,-0.165109040093327,0.0513353940799424,0.0627803536069959,-0.0722064551131014,0.11804347826087,0.120991455139482,0.120343624107092,-0.291194603720952,-0.145702677006269,-0.221441359089599,-0.219340330926881
"CLDN7",0.236774755484385,0.261710149437424,-0.0073365578754984,0.146283509532891,-0.00532634300010829,-0.0764910862819791,0.129247958076851,0.132492475024468,-0.132620853044401,0.120204155050736,0.132309987374942,0.132309987374942,-0.165109040093327,0.0513353940799424,0.0627803536069959,-0.0722064551131014,0.11804347826087,0.120991455139482,0.120343624107092,-0.291194603720952,-0.145702677006269,-0.221441359089599,-0.219340330926881
