"","miR200b","CDH1","miR101","KLF8","GSC","miR141","CLDN7","GRHL2","NP63","miR205","SNAI1","TWIST1","OVOL2","FOXC2","TCF3","ZEB1","miR34a","TGFbeta","ZEB2","SNAI2","TWIST2","miR200c","miR200a"
"miR200b",0.214645383514011,0.152634339144817,0.0932652260110539,0.094063107931734,0.177543363442648,0.176726301938499,0.176726301938499,0.167786666062191,0.0824576783151158,0.0829517248763385,0.037051729004905,0.102653487197033,0.0598515513617465,0.0689856963302286,-0.101622681334602,-0.176786341086702,-0.178341651122474,-0.177569497430467,-0.249829193560606,-0.121080957752772,-0.131807411475679,-0.0349245463545934,-0.207987806620234
"miR101",0.177353639710992,0.11316965370124,0.0474703321085362,0.147086197275881,0.0766249515177309,0.179037795074041,0.179037795074041,0.169559294037217,0.113309637982987,0.113761034161866,0.030112138944451,0.0210446271996531,0.0866572124815131,-0.0873330430449368,-0.0212617741721442,-0.179048012271892,-0.125133821555702,-0.0764312716847483,-0.239523243080207,0.0439282718832376,-0.0831309791278953,-0.0286965575133628,-0.204064372760316
"miR200c",0.0511405897898937,0.0725135791304228,0.0782724188335805,0.0785497863635686,0.0968197902618175,-0.155755968278725,-0.155755968278725,-0.150890928573073,-0.0702753241292457,-0.0709186509463774,0.0689766437415538,0.0166486661765502,-0.0505784139890187,0.0165884928251532,-0.0164283073910377,0.155791009714665,0.0724091247625352,-0.0971015828261298,-0.20145285674868,-0.0835068683573135,0.0057520802370247,-0.175141898723219,-0.0259954508090764
"miR200a",0.135376254590084,0.0759264903359217,-0.0467567357448141,-0.04691883365195,-0.0437827482622646,0.179478923887588,0.179478923887588,0.170203087773818,0.0838713498511313,0.0841734646547567,-0.0569167360073028,-0.00479767588007636,0.0607752537582832,-0.0112947461557982,0.00469563053644976,-0.17949119954986,-0.0943255419006428,0.0439338708874805,-0.198959704922013,0.0423305915539646,-0.0426008403670074,-0.0114483619219873,-0.187740613623271
"TWIST2",0.10996488904764,-0.0602116495188861,0.00309415792349052,0.00345566757388635,0.0580385830939134,0.12967519589945,0.12967519589945,0.122483540403064,0.0953165990964811,0.0954963228354195,-0.0176043260921826,-0.0222381466620698,0.0799092162910789,-0.0172855212210938,0.0226442279068157,-0.12966152841955,-0.0533725445388612,-0.0580601411109033,-0.15595268670121,-0.0638743613652439,-0.0884364400080477,-0.0116864049091647,-0.140865544510978
"SNAI1",0.059145219699897,0.105891634008334,0.0364081412155573,0.0369656396790828,0.0359509618436027,0.0892972765393792,0.0892972765393792,0.0855459690637403,0.0794553302915336,0.0795655973829327,-0.0740005060036074,7.75214237377034e-05,0.0746528868904907,-0.105286475582335,0.000523850951964196,-0.0893552618770415,-0.105822921306802,-0.0360249253302297,-0.154392082463142,0.056002078888126,-0.0353247212929308,-0.028040295685401,-0.115620615115213
"miR141",-0.0281285391340326,-0.00419426967847211,-0.0617495429222875,-0.0624321552201154,-0.124506321443095,-0.153003346329635,-0.153003346329635,-0.148474506861446,-0.0688616525932302,-0.0696969111679592,-0.024991821270654,-0.0908024969005596,-0.049654711592482,-0.0636919496608737,0.0898900044800145,0.153086151251506,0.156425233984367,0.124401785491818,-0.150583368110087,0.079904680949423,0.0949586513456962,-0.151665714290613,-0.00574825781211356
"miR34a",0.0770022001326368,0.00270194516760215,-0.0105840527203946,-0.0109067324991285,0.0663928766121043,0.17691965738006,0.17691965738006,0.16799793324748,0.125273338583834,0.125634759288888,0.0178747652380427,-0.0479816420036995,0.0997748918748974,-0.0922735396435287,0.0478013454986173,-0.176915849877853,-0.109187348006295,-0.0662637501466094,-0.134966093167169,0.0619968233180686,0.134091053528532,0.0920346661652782,-0.20091208952691
"FOXC2",0.196188346812067,0.0798758880674438,0.0149713508956743,0.0154660190914191,0.062142779484192,0.13785875546381,0.13785875546381,0.134775466234219,0.0647482252726995,0.0658325299623173,-0.0571902338081464,0.106167883002461,0.0511044532200794,0.11269645557481,-0.105396138973619,-0.137949302444089,-0.153760477462317,-0.0618985355007355,-0.0634558177016147,-0.037231892873169,-0.138717081469366,0.137424065997759,-0.179318343636701
"TCF3",0.0438152717852032,0.236766036036196,0.05005832954798,0.0520401504390544,0.0198851464061702,0.0387543087874141,0.0387543087874141,0.0370229351122266,0.0287354444165201,0.027463768115942,0.0573867268644118,0.0554462789738551,0.0244489222133674,-0.0131249878772654,-0.0530745461568173,-0.0388018529486253,-0.0419270902125459,-0.0208639392283561,-0.0536448892817568,-0.0450231932996387,-0.0575932593444761,-0.00708961049405344,-0.0451562941238848
"KLF8",0.0438152717852032,0.236766036036196,0.05005832954798,0.0520401504390544,0.0198851464061702,0.0387543087874141,0.0387543087874141,0.0370229351122266,0.0287354444165201,0.027463768115942,0.0573867268644118,0.0554462789738551,0.0244489222133674,-0.0131249878772654,-0.0530745461568173,-0.0388018529486253,-0.0419270902125459,-0.0208639392283561,-0.0536448892817568,-0.0450231932996387,-0.0575932593444761,-0.00708961049405344,-0.0451562941238848
"CDH1",0.0441776602952688,0.13724832220529,0.0509932718015467,0.05005832954798,0.0208639392283561,0.0388018529486253,0.0388018529486253,0.0369222955641307,0.0288895276214507,0.0287354444165201,0.0568979602812599,0.054367925720203,0.0244232925388643,-0.0134894063013051,-0.0554462789738551,-0.0386558581787676,-0.0422979511396982,-0.0207595956720822,-0.0536337561517887,-0.0447309273480982,-0.0580775378397035,-0.00721062189460118,-0.0453325037071385
