"","miR101","ZEB2","FOXC2","CDH1","miR200b","miR200c","miR200a","OVOL2","TWIST1","GSC","ZEB1","CLDN7","miR141","GRHL2","NP63","miR205","TGFbeta","TCF3","miR34a","SNAI1","SNAI2","TWIST2","KLF8"
"GSC",0.182523275078516,-0.184497086332542,0.227562740544595,0.133456968727137,0.0183480271108797,0.158738185561852,0.158738185561852,-0.0928691981631864,0.0883425829218863,0.0631998775753261,0.142149485496545,0.142144417623242,-0.142144417623242,-0.133326845269612,0.108891908957329,0.109108388200226,-0.0631766517531015,-0.088235567843941,-0.00872487615799428,-0.210159319747669,-0.0435773150926333,-0.0266461202677855,-0.182245583910069
"ZEB2",-0.0944648292155819,-0.0821067932792282,-0.0351908028039413,-0.0203752725738446,-0.0136530022078186,-0.0121996506686034,-0.0121996506686034,-0.00718865970291852,-0.00679465066259373,-0.00472363733079227,-0.00134570855404171,-0.00134202611754533,0.00134202611754533,0.00211384188779516,0.00277045478712462,0.00285567325629103,0.00460478691604743,0.00695864631102603,0.0232766358309119,0.0432070621774851,0.0647173230092033,0.0710792637629735,0.0948237938859012
"ZEB1",0.0076617127011121,-0.0355061857956628,-0.0454072927651822,0.0720690039376981,0.0162528851154094,0.00705175491811357,0.00705175491811357,-0.0268739682107833,-0.0802503482717221,-0.00444088807253256,-0.106439727585132,-0.00647399274292035,0.00647399274292035,0.00913986013698416,0.00884479571808441,0.00858901919204693,0.00439903874383696,0.0799637016763265,-0.0100005265333698,0.041128605299564,-0.0197961922406881,-0.0905183125994396,-0.0082693764653944
"FOXC2",0.0082693764653944,-0.0351805836209432,-0.0453431066118246,0.0725086229563066,0.0167441381440622,0.00731630256635915,0.00731630256635915,-0.0269773277979859,-0.0799637016763265,-0.00433559177744241,-0.00647399274292035,-0.00646081454391254,0.00646081454391254,0.00916290082835599,0.00858901919204693,0.00890075679031204,0.00444088807253256,0.0809044407479804,-0.00992653399377464,0.0410322898380996,-0.0191996168875536,-0.0912109016579637,-0.00698050050900736
"miR141",0.0422451349999299,-0.0328709317233601,0.135769750635196,0.022090020551007,-0.0566779145888091,0.0238344728297365,0.0238344728297365,-0.0289913962123113,0.0298338666451253,0.107950432610992,0.0163650755235832,0.0164340424261657,-0.0164340424261657,-0.00775557345628932,0.0173542066180541,0.0176563214216795,-0.107828852754615,-0.0293502604514167,-0.000513971990209317,-0.160066824325272,0.0689977137550342,-7.67655633994727e-05,-0.0413734084771101
"CDH1",0.0379521912399396,-0.0300572649797279,0.0191445149673496,0.0367290727208515,0.0213670195707451,0.0259414582774965,0.0259414582774965,-0.0174311767431861,-0.0844370160942105,0.00328129780758236,0.0217706321563408,0.0220128872140168,-0.0220128872140168,-0.0204061003521582,0.0177785534430697,0.0185232889335679,-0.00318922996381126,0.0852178925882345,0.0142607272001357,0.00385226676430326,-0.0642130780140692,-0.0854852234518615,-0.0361761244675932
"miR34a",-0.0040902315506633,-0.027996016793577,-0.0210075961340796,-0.00837761385966733,0.0267493429631903,0.0633844869527053,0.0633844869527053,-0.0333132867216192,-0.118127578975997,0.00715900877233376,0.0199359568320054,0.0199845024851467,-0.0199845024851467,-0.0154011292868833,0.0246911165195678,0.0247649144645789,-0.00712340848511788,0.118599184244749,0.0434259108391274,0.0652176998798416,-0.0721498762491466,-0.211212483733644,0.00479993499258094
"miR200c",0.0543932451009794,-0.0197943069245141,0.138198508819305,0.0244762835943214,0.00605150100071315,0.0183942664304064,0.0183942664304064,0.0134212691082535,0.0906040513275072,0.121984369372735,0.0177278923847994,0.017773647125995,-0.017773647125995,-0.0195379466099815,0.0025826774883666,0.00238719143896194,-0.12215594468407,-0.0907652533920767,-0.103182340395997,-0.189448429097664,0.0629112584763278,0.0738602384677581,-0.0544742940545474
"miR200a",0.0543932451009794,-0.0197943069245141,0.138198508819305,0.0244762835943214,0.00605150100071315,0.0183942664304064,0.0183942664304064,0.0134212691082535,0.0906040513275072,0.121984369372735,0.0177278923847994,0.017773647125995,-0.017773647125995,-0.0195379466099815,0.0025826774883666,0.00238719143896194,-0.12215594468407,-0.0907652533920767,-0.103182340395997,-0.189448429097664,0.0629112584763278,0.0738602384677581,-0.0544742940545474
"miR101",-0.189587695192652,-0.0181961949920104,-0.0694385844443269,-0.00315495243049012,-0.0124183474194309,0.00703359911308061,0.00703359911308061,-0.0211340431657259,-0.208303782285754,0.00767043022840176,-0.00118326715785123,-0.00117008367675304,0.00117008367675304,0.00275131331772917,0.00929807391387432,0.00934531304887327,-0.00770312942098324,0.209003235599155,0.0588986563378957,0.180530794764633,0.0943170945704323,-0.0307384562702144,0.0904769208087296
"miR205",-0.0127439293421847,-0.00199840891377037,-0.0711260602554311,-0.00181554946192975,0.00194687040088655,-0.00142265050166361,-0.00142265050166361,-0.0225467788481821,-0.0862780057080649,-0.011250470025868,-0.00456528743650003,-0.0045491385687841,0.0045491385687841,0.00699655459643259,0.00707768869873163,0.00742453242086026,0.0114551994338985,0.0867269163789598,-0.00171224502177029,0.0687432832894918,0.00442359565204257,-0.0792457731474567,0.0134060483734132
"miR200b",-0.0543932451009794,0.0197943069245141,-0.138198508819305,-0.0244762835943214,-0.00605150100071315,-0.0183942664304064,-0.0183942664304064,-0.0134212691082535,-0.0906040513275072,-0.121984369372735,-0.0177278923847994,-0.017773647125995,0.017773647125995,0.0195379466099815,-0.0025826774883666,-0.00238719143896194,0.12215594468407,0.0907652533920767,0.103182340395997,0.189448429097664,-0.0629112584763278,-0.0738602384677581,0.0544742940545474
