"","ZEB2","TWIST2","TCF3","SNAI1","OVOL2","miR34a","miR205","miR200c","miR200b","miR200a","miR141","miR101","GSC","GRHL2","CLDN7","CDH1","ZEB1","TWIST1","TGFbeta","SNAI2","NP63","KLF8","FOXC2"
"ZEB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"TWIST2",0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1
"TWIST1",0,0.1,-0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0
"SNAI1",0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0
"OVOL2",0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
"miR205",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1
"miR200c",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0,-0.1,0.1,0,0.1,0
"miR200b",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0,-0.1,0.1,0,0.1,0
"miR200a",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0,-0.1,0.1,0,0.1,0
"miR141",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0,-0.1,0.1,0,0.1,0
"miR101",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,-0.1,0.1
"GSC",0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0
"GRHL2",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1
"FOXC2",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1
"CDH1",0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1
"ZEB1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0
"TGFbeta",0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1
"TCF3",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
"SNAI2",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0
"NP63",0.1,0.1,0.1,0,0.1,0,-0.1,0,0.1,0,0,0.1,0.1,-0.1,0,0.1,0.1,0,0,0,0.1,0,0.1
"miR34a",0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1
"KLF8",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
"CLDN7",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
