"","ZEB2","TWIST2","KLF8","TWIST1","GSC","NP63","miR34a","miR200c","miR141","CLDN7","ZEB1","GRHL2","CDH1","miR205","miR200a","TGFbeta","TCF3","OVOL2","FOXC2","miR200b","SNAI2","miR101","SNAI1"
"TWIST2",-0.135644523760654,-0.111071384626239,-0.0730429140307309,-0.0878961494779991,0.0609723306355747,0.0300384623861803,0.0184430725789491,0.0703749635459948,0.00491216350709216,-0.00491216350709216,-0.00467744875385474,-0.00689231574395072,0.0871014751221674,-0.030618713314753,-0.0703749635459948,-0.0609065650394409,0.0874943427726716,-0.0438913208449592,0.0245965247427005,-0.0856961575003176,0.108986764203018,0.0736381883348683,-0.00133286287737975
"ZEB2",-0.0756170284351936,-0.0611465897771385,-0.0346886314279913,-0.0169443560795234,-0.0163203167225394,-0.013382717567961,-0.0127320186436343,-0.012474771279307,-0.00028170874933328,0.00028170874933328,0.000376715610939952,0.00189132990032153,0.00626683318967179,0.0123833373386459,0.012474771279307,0.0168431353863651,0.0171115991665385,0.0181008370717764,0.019755120709267,0.0265437819440058,0.0289968622016048,0.0341904560822019,0.0554312670959995
"GRHL2",-0.0532700387938703,0.0240092974804295,-0.00271563480879831,0.00363038091684161,0.13030071377473,-0.20035279148672,-0.0279950602478267,0.0411178699296805,0.0350156177782729,-0.0350156177782729,-0.0347782644318528,0.0716971524803309,-0.0111387564620064,0.200174024803276,-0.0411178699296805,-0.130221444163817,-0.00365061330021637,0.0408829291352896,-0.0344207068124842,-0.078303964625983,-9.13231557369939e-05,0.00257918514111928,-0.0132760054156789
"miR200c",-0.0352216344858027,-0.00820514660031534,-0.0676681434395831,0.0623129042848267,0.14200948306874,0.0581453494411025,-0.00915820380637322,0.0168612857601181,0.00189723039831542,-0.00189723039831542,-0.00175773423613383,-0.0111637264412076,-0.0145680434311536,-0.0592294084423465,-0.0168612857601181,-0.141622018292811,-0.062509600381962,-0.0714991491151753,-0.0680869115996511,-0.0831120581003162,0.0856176748928165,0.0677654021838646,-0.0316384890441021
"miR141",-0.0352216344858027,-0.00820514660031534,-0.0676681434395831,0.0623129042848267,0.14200948306874,0.0581453494411025,-0.00915820380637322,0.0168612857601181,0.00189723039831542,-0.00189723039831542,-0.00175773423613383,-0.0111637264412076,-0.0145680434311536,-0.0592294084423465,-0.0168612857601181,-0.141622018292811,-0.062509600381962,-0.0714991491151753,-0.0680869115996511,-0.0831120581003162,0.0856176748928165,0.0677654021838646,-0.0316384890441021
"GSC",-0.0230604026969915,0.0287777017363451,0.0725313359267236,0.0971087025612658,0.00924272287037469,-0.0291059377778524,-0.0275144322220193,0.0171650959346312,-0.0108230934282991,0.0108230934282991,0.0104907857359914,0.0112027984442155,-0.0545709743027567,0.0289948245381352,-0.0171650959346312,-0.00899029485514344,-0.0966119609308032,0.0411294014100162,-0.148148013748081,-0.00615521428929767,-0.0298465206484776,-0.073338101847684,0.0090339068614136
"miR205",-0.0229478489966949,0.06985695491296,-0.0110931197263501,0.0118450578067057,0.0309143238575118,0.0685655882425436,-0.00463303529171294,0.0168070307834629,0.0116601025779508,-0.0116601025779508,-0.0112427164585237,-0.0211630169418571,-0.00632635283029436,-0.06978449618031,-0.0168070307834629,-0.0306080232703034,-0.0123516267289083,-0.0814763479025402,-0.105601720636983,-0.0292149374037234,0.0244280697359121,0.0115800087682176,0.05316202353454
"miR101",-0.0116212273729269,-0.00369602445557854,-0.0818697895756377,-0.000478014700179849,0.00323528917418703,-0.042972704284105,-0.0275495504773654,-0.000464770385438408,-0.00904797770568713,0.00904797770568713,0.00881495967727673,0.0132597729491624,-0.0163702399661455,0.043206275562711,0.000464770385438408,-0.00311371525305077,0.00105088987886235,0.0566984045785077,-0.0756173635938446,-0.012156149164389,0.0699926585056879,-0.019018106854168,-0.00371875242100469
"KLF8",-0.0100865875883475,-0.0211203384937259,-0.0138710013487536,-0.087894897419244,0.0114173668433266,0.0372968501298484,-0.00510187962996223,0.0149349728943068,0.0163461203621327,-0.0163461203621327,-0.0154793537308193,-0.0188621366799394,0.00374515070102982,-0.0422101449275362,-0.0149349728943068,-0.011145479948275,0.0838290697328936,-0.0525878264549,0.053174069222352,-0.0139858718138467,0.0137342423507722,0.0201442840189965,-0.0212407000782313
"OVOL2",-0.00652806016874905,-0.0681751546538396,-0.0598430996697755,0.02796233106485,-0.00261058175234801,-0.0633882953883862,0.069776809466132,-0.00855924539208782,-0.0155007488501362,0.0155007488501362,0.015374527567516,0.0254331856947924,-0.109016918725237,0.0622744112712285,0.00855924539208782,0.00293300238726864,-0.0282950409418373,-0.0217897384762508,-0.023569106535,0.0170662149802736,0.0473623217814242,0.0603936408890817,-0.0560306167165252
