"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","EGR1","MEK","SMAD","ILK","SHH","TWIST1","AKT","ERK","cfos","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0535978260869565,0.0229885669505858,0.0261821797250369,0.0259155130583702,0.0210204081632653,-0.0566975127713172,0.0920479952326453,0.0052653519320186,0.0416666666666667,0.0221616031949793,0.00896845038202448,0.00872395160451837,-0.122816837187137,-0.0420402923271005,0.0423454374139306,0.0239159891598916,0.0294715447154472,0.0464550264550265,0.0501587301587302,-0.116528640441684,0.0523809523809524,-0.115079365079365,-0.187701609387914,-0.0614170308321961,-0.0579687549701271,-0.0563112964065912,-0.199962203265225,0.216606219780895,0.188441503451559,0.188441503451559,-0.237246136048973,0.00185296120579087,0.00305392197440576,0.00305392197440576,0.00305392197440576,-0.0863933556797526,0.0543958774782005,-0.200129269564663,-0.187952006671513,-0.186139761851422,-0.187000605282981,-0.183346465762036,-0.18548545376783,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238894302737101,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0197297842364011,0.120232344145388,-0.0294715447154472
"AXIN2",0.107973934144965,0.0624665374094979,0.0629673721340388,0.0647530864197531,0.0783333333333333,-0.0664509427932247,0.150612027612028,0.0125901875901876,0.122222222222222,0.0778753047718565,0.012261666753737,0.0155674518777039,-0.15759442042581,-0.0388500439303863,0.0987509364747216,0.0870707070707071,0.102222222222222,0.103296391020176,0.109178743961353,-0.155253283302064,0.122222222222222,-0.157692307692308,-0.222505725825612,-0.0552838130127243,-0.0532290184921764,-0.0505263157894737,-0.251968153611989,0.250010852665555,0.242720270815801,0.242720270815801,-0.280263919382034,0.0666764989727169,0.0694802372904739,0.0694802372904739,0.0694802372904739,-0.167901368657284,0.0645448109259825,-0.257119058936247,-0.240587746071882,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.160366315603491,0.155253283302064,-0.102222222222222
"Wnt",0.174017094017094,0.201212121212121,0.146666666666667,0.1,0.1,0.12,0.0990058479532164,0.058974358974359,0.1,0.175555555555556,0.0506410256410256,0.0506410256410256,0.104285714285714,0.22030959752322,0.133333333333333,0.12,0.1,0.0866666666666667,0.0666666666666667,0.05,0.1,0,0.149583333333333,0.190683229813665,0.142857142857143,0.1,-0.262745098039216,-0.334123931623932,0.301206636500754,0.301206636500754,0.336923076923077,0.156187929717341,0.12436974789916,0.12436974789916,0.12436974789916,-0.0737012987012987,-0.40009074941452,-0.304067085953878,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0199097195543603,-0.09,-0.1
"Frizzled",0.208956853053239,0.23650623885918,0.201212121212121,0.146666666666667,0.1,0.155714285714286,0.116079018684924,0.058974358974359,0.1,0.213486590038314,0.0588042909471481,0.0506410256410256,0.11576112412178,0.241463443677066,0.16,0.175555555555556,0.12,0.133333333333333,0.0866666666666667,0.09,0.0666666666666667,0.05,0.161828231292517,0.221295474711624,0.190683229813665,0.142857142857143,-0.297745098039216,-0.364868268193511,0.333859697725244,0.333859697725244,0.365027652086476,0.180381478104438,0.156187929717341,0.156187929717341,0.156187929717341,-0.0952202860430709,-0.434219627696143,-0.337400419287212,0.346574343650196,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00539359052210228,-0.104285714285714,-0.12
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.3,0.335454758886228,0.108561915332171,0.2,0.363709677419355,0.100092592592593,0.0875,0.323191391941392,0.412614379084967,0.33989417989418,0.325,0.275,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.463834025111634,0.401270570225794,0.375897435897436,0.375897435897436,0.375897435897436,-0.346211168371395,-0.673337617420235,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342269118942678,-0.297916666666667,-0.275
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.3,0.335454758886228,0.108561915332171,0.2,0.363709677419355,0.100092592592593,0.0875,0.323191391941392,0.412614379084967,0.33989417989418,0.325,0.275,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.463834025111634,0.401270570225794,0.375897435897436,0.375897435897436,0.375897435897436,-0.346211168371395,-0.673337617420235,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342269118942678,-0.297916666666667,-0.275
"DSH",0.227899584330772,0.255940867834445,0.23650623885918,0.201212121212121,0.146666666666667,0.191825396825397,0.133761945514192,0.0694505494505494,0.12,0.245954122505847,0.0704508772925296,0.0588042909471481,0.128748137108793,0.259874996023636,0.176279069767442,0.213486590038314,0.175555555555556,0.16,0.133333333333333,0.104285714285714,0.0866666666666667,0.09,0.176807988377537,0.239605333866553,0.221295474711624,0.190683229813665,-0.327745098039216,-0.391398880438409,0.359062949757764,0.359062949757764,0.387956823755143,0.202830457696275,0.180381478104438,0.180381478104438,0.180381478104438,-0.111566439889225,-0.46118085402617,-0.36404618731229,0.363271258350741,0.327475974704974,0.346574343650196,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.363939843761714,-0.0666666666666667,-0.05,0.2,0.00664524442935403,-0.11576112412178,-0.175555555555556
"RAF",0.293569148388426,0.319075358298659,0.267619047619048,0.22,0.2,0.118333333333333,0.213801261018483,0.149122807017544,0.1,0.212820512820513,0.146647058823529,0.142647058823529,0.202463768115942,0.3718782249742,0.152649769585253,0.166666666666667,0.133333333333333,0.110714285714286,0.0857142857142857,0.14,0.1,0.1,0.254848171152519,0.208565656565657,0.156565656565657,0.111111111111111,-0.332663797226208,-0.47456648377701,0.370163797226208,0.370163797226208,0.621478005688532,0.100776397515528,0.0564285714285714,0.0564285714285714,0.0564285714285714,-0.160637134263057,-0.54161571275949,-0.379067679490321,0.376738056964007,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0261803683324487,-0.179130434782609,-0.133333333333333
"PI3K",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.2,0.170313509586894,0.0712971342383107,0.1,0.239589169000934,0.0754772961816305,0.0649509803921569,0.12914901999409,0.274032533123442,0.274324324324324,0.198412698412698,0.142857142857143,0.25,0.2,0.0954545454545455,0.166666666666667,0.05,0.181361848574238,0.235333333333333,0.202,0.15,-0.3343058733791,-0.395409143296197,0.371326232247285,0.371326232247285,0.392884674914237,0.222230436230436,0.190761904761905,0.190761904761905,0.190761904761905,-0.184027777777778,-0.469481746979955,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161,-0.142857142857143
"ILK",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.2,0.170313509586894,0.0712971342383107,0.1,0.239589169000934,0.0754772961816305,0.0649509803921569,0.12914901999409,0.274032533123442,0.274324324324324,0.198412698412698,0.142857142857143,0.25,0.2,0.0954545454545455,0.166666666666667,0.05,0.181361848574238,0.235333333333333,0.202,0.15,-0.3343058733791,-0.395409143296197,0.371326232247285,0.371326232247285,0.392884674914237,0.222230436230436,0.190761904761905,0.190761904761905,0.190761904761905,-0.184027777777778,-0.469481746979955,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161,-0.142857142857143
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.0666666666666667,0,0.2,0.0939393939393939,0.0666666666666667,0.253333333333333,0.2,0.15,0.1,0,0.1,0,0.3,0,0.2,0.162857142857143,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.365555555555556,0.303846153846154,0.25,0.25,0.25,-0.266666666666667,-0.341666666666667,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,0
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.339684959349593,0.370707106464215,0.114393939393939,0.2,0.391383219954649,0.107971014492754,0.091304347826087,0.364441776710684,0.448322008191805,0.36889281262983,0.344444444444444,0.283333333333333,0.326724137931034,0.275,0.301176470588235,0.2,0.26,0.40120049600868,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,-0.63753975365315,0.378588839941263,0.378588839941263,0.709972263610913,0.442320695323872,0.412827607766268,0.412827607766268,0.412827607766268,-0.385059817342904,-0.808697355889322,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385920165344709,-0.335870348139256,-0.283333333333333
"cateninnuc",0.393244677451218,0.377141447631356,0.357317659085101,0.331736263736264,0.299428571428571,0.287391304347826,0.335290810980658,0.119031737353225,0.2975,0.374402476780186,0.105041131111126,0.0973268453968403,0.214449090045498,0.323632480860926,0.343747120362089,0.353078947368421,0.329078947368421,0.326615646258503,0.304166666666667,0.185367231638418,0.270833333333333,0.163333333333333,0.246414167372396,0.374353491250387,0.355732801595214,0.332203389830509,-0.300580085778642,-0.409600622756577,0.381084727746223,0.381084727746223,0.461811866030596,0.38970602109153,0.373323768531803,0.373323768531803,0.373323768531803,-0.335918018791945,-0.492248517405306,-0.388466698140804,0.181888924060339,0.255050909979439,0.268997324393025,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320655985089698,-0.201617231638418,-0.329078947368421
"RAS",0.344119241192412,0.36680926916221,0.315294117647059,0.28,0.26,0.08,0.300035103115401,0.152771618625277,0.2,0.289454545454545,0.14886655011655,0.146783216783217,0.186904761904762,0.37422519509476,0.21047619047619,0.245454545454545,0.2,0.173333333333333,0.166666666666667,0.116666666666667,0.2,0.1,0.255227320343599,0.276315789473684,0.226315789473684,0.2,-0.356428571428571,-0.400227380597592,0.397481203007519,0.397481203007519,0.573780564409016,0.159849236992094,0.208828828828829,0.208828828828829,0.208828828828829,-0.210714285714286,-0.470048011507772,-0.40667292057536,0.40962570734786,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0309034542044251,-0.158333333333333,-0.2
"SOSGRB2",0.368577047338109,0.391181519210716,0.343736263736264,0.301428571428571,0.271428571428571,0.0303571428571429,0.350310405643739,0.253509286412512,0.22,0.30975546975547,0.249321685508736,0.244285714285714,0.293333333333333,0.402427860696517,0.335113145181795,0.263809523809524,0.24,0.304678362573099,0.288888888888889,0.233333333333333,0.3,0.2,0.354001367989056,0.392479983784332,0.347552447552448,0.309090909090909,-0.362017543859649,-0.49394532627866,0.398782249742002,0.398782249742002,0.642750905844212,0.338381180223286,0.28969696969697,0.28969696969697,0.28969696969697,-0.310854063018242,-0.562280104914115,-0.409302685550654,0.399914551394823,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0326201388278138,-0.264761904761905,-0.24
"AKT",0.275308489941369,0.29582343946753,0.270441176470588,0.232107843137255,0.177941176470588,0.24,0.193593932867317,0.0844118883366714,0.142857142857143,0.275144724556489,0.0865093246513814,0.0754772961816305,0.14646745574828,0.298256135607914,0.19473248758963,0.239589169000934,0.198412698412698,0.274324324324324,0.25,0.110839160839161,0.2,0.0954545454545455,0.20039299044275,0.259259713701432,0.235333333333333,0.202,-0.365884820747521,-0.426186345368736,0.400903697036017,0.400903697036017,0.420289018244123,0.249686355625902,0.222230436230436,0.222230436230436,0.222230436230436,-0.203778297528298,-0.501469324619706,-0.401839624658292,0.398521263046348,0.356906197053581,0.379522044907177,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388406926406926,-0.166666666666667,-0.05,0.2,-0.00188522341455235,-0.12914901999409,-0.198412698412698
"MEK",0.332821484837024,0.360428741757306,0.319075358298659,0.267619047619048,0.22,0.155175438596491,0.240837091637376,0.153709962980847,0.133333333333333,0.162074244163796,0.1566872194661,0.146647058823529,0.222200610221205,0.403476737985353,0.182649769585253,0.212820512820513,0.166666666666667,0.152649769585253,0.110714285714286,0.179130434782609,0.0857142857142857,0.14,0.275835825473507,0.246444444444444,0.208565656565657,0.156565656565657,-0.367357674777228,-0.511121626280108,0.406229370996699,0.406229370996699,0.656151372522703,0.137110802660222,0.100776397515528,0.100776397515528,0.100776397515528,-0.190018577562026,-0.581894782526932,-0.414758997818295,0.398771955269092,0.352867132867133,0.376738056964007,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0460535184381569,-0.202463768115942,-0.166666666666667
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.0666666666666667,0.369340016708438,0.2,0.2,0.253968253968254,0.189396467806981,0.178758169934641,0.173809523809524,0.351941391941392,0.26,0.242857142857143,0.2,0.266666666666667,0.2,0.15,0.2,0.1,0.186826923076923,0.24812030075188,0.242857142857143,0.2,-0.277777777777778,-0.144450549450549,0.420634920634921,0.420634920634921,0.436885369532428,0.206060606060606,0.166666666666667,0.166666666666667,0.166666666666667,-0.214244306418219,-0.282825136612022,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.157654776999835,-0.15,-0.2
"IKK",0.496190476190476,0.527869605142332,0.469191919191919,0.405555555555556,0.35,0.33875,0.289651162790698,0.174509803921569,0.1,0.291623931623932,0.177714646464646,0.164583333333333,0.251586206896552,0.531331981068289,0.318571428571429,0.213846153846154,0.16,0.264285714285714,0.314285714285714,0.18,0.3,0.12,0.284815905743741,0.361457668015045,0.307359307359307,0.245454545454545,-0.363369963369963,-0.568967287394254,0.423668546365915,0.423668546365915,0.65849589328731,0.384685500919749,0.338206627680312,0.338206627680312,0.338206627680312,-0.224097194939892,-0.681714469917212,-0.427570738440304,0.438934351700309,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.141469235253142,-0.224,-0.16
"Csn",0.248840623678789,0.276029740504317,0.248184704184704,0.204184704184704,0.145454545454545,0.231308368007397,0.161622878063556,0.0695598744406598,0.166666666666667,0.317359105069385,0.0737236827015832,0.0615689865689866,0.135260127888456,0.291439679320004,0.204853372434018,0.27530303030303,0.23030303030303,0.182272727272727,0.150454545454545,0.101569264069264,0.105,0.0803571428571429,0.183719939117199,0.263725614056693,0.238121749322394,0.198395721925134,-0.393499011077704,-0.43860721406944,0.430573313114249,0.430573313114249,0.433202912910711,0.249479686386315,0.220590797497426,0.220590797497426,0.220590797497426,-0.150624204312823,-0.511767607756736,-0.438554376687745,0.416045760890945,0.372955730969856,0.396021115173138,0.348511286525412,0.373398164353466,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.406284025787966,-0.18,-0.0428571428571429,0.2,0.0544256303151935,-0.11896056841709,-0.23030303030303
"STAT",0.208176237695689,0.204009658901072,0.186936488169365,0.160909090909091,0.140909090909091,0.0926330532212885,0.133475935828877,0.0451741293532338,0.1,0.100077972709552,0.0510958754294463,0.0479902853673345,0.0525802879291251,0.0737587432633872,0.0353751610665081,0.0852631578947368,0.08,0.0269005847953216,0.0111111111111111,0.0342857142857143,0,0.0142857142857143,0.0616773367477593,0.0300023116042534,0.0173809523809524,-0.00833333333333333,-0.317272727272727,-0.0578775396563982,0.431138731752229,0.431138731752229,0.0927131786983009,-0.0254786314229249,-0.0387598814229249,-0.0387598814229249,-0.0387598814229249,0.072258188896559,-0.197357761331353,-0.447387841226704,0.0279485555123698,0.00965007215007215,0.0191680677074917,-0.00146103896103896,0.009843308865048,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.044031284031284,0,0,0,-0.0601859950420651,-0.0459136212624585,-0.08
