,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,nrf_1,6,8,8,5,3,3
1,nrf_10,5,4,3,1,0,0
2,nrf_100,5,6,3,3,0,0
3,nrf_101,4,1,0,0,2,2
4,nrf_102,5,5,4,1,2,2
5,nrf_103,3,1,0,0,0,0
6,nrf_104,7,17,8,1,0,0
7,nrf_105,6,10,8,4,0,0
8,nrf_106,5,4,3,1,0,0
9,nrf_107,5,8,0,0,0,0
10,nrf_108,2,0,0,0,0,0
11,nrf_109,5,5,3,2,3,3
12,nrf_11,4,2,2,0,0,0
13,nrf_110,6,17,0,0,5,5
14,nrf_111,7,20,8,3,5,5
15,nrf_112,7,16,5,1,0,0
16,nrf_113,6,9,8,5,0,0
17,nrf_114,6,12,6,5,4,4
18,nrf_115,6,8,8,1,3,3
19,nrf_116,5,5,4,0,3,3
20,nrf_117,5,10,0,0,0,0
21,nrf_118,7,20,8,2,5,5
22,nrf_119,9,45,12,3,7,7
23,nrf_12,8,28,6,1,0,0
24,nrf_120,4,2,2,0,0,0
25,nrf_121,6,10,6,3,4,4
26,nrf_122,7,16,11,3,4,4
27,nrf_123,6,9,8,5,3,0
28,nrf_124,3,0,0,0,1,1
29,nrf_125,5,7,0,0,0,0
30,nrf_126,5,6,3,1,3,3
31,nrf_127,6,15,0,0,5,5
32,nrf_128,6,9,4,1,0,0
33,nrf_129,6,10,6,2,4,4
34,nrf_13,4,3,0,0,0,0
35,nrf_130,5,4,3,1,0,0
36,nrf_131,4,4,0,0,0,0
37,nrf_132,4,4,0,0,0,0
38,nrf_133,7,19,9,3,5,5
39,nrf_134,6,11,4,1,0,0
40,nrf_135,2,0,0,0,0,0
41,nrf_136,7,15,12,4,4,4
42,nrf_137,8,25,16,1,5,5
43,nrf_138,6,8,8,7,3,3
44,nrf_139,7,16,13,5,4,4
45,nrf_14,2,0,0,0,0,0
46,nrf_140,5,5,4,2,3,0
47,nrf_141,7,16,5,1,0,0
48,nrf_142,2,0,0,0,0,0
49,nrf_143,6,10,6,3,0,0
50,nrf_144,5,4,3,0,0,0
51,nrf_145,4,2,2,0,0,0
52,nrf_146,4,3,0,0,0,0
53,nrf_147,8,20,18,5,9,9
54,nrf_148,5,5,3,0,0,0
55,nrf_149,4,2,2,1,0,0
56,nrf_15,2,0,0,0,0,0
57,nrf_150,6,13,6,0,0,0
58,nrf_151,4,3,0,0,0,0
59,nrf_152,4,3,0,0,0,0
60,nrf_153,6,10,6,1,0,0
61,nrf_154,6,10,6,2,0,0
62,nrf_155,5,5,4,1,0,0
63,nrf_156,5,5,4,1,3,3
64,nrf_157,8,22,20,6,8,8
65,nrf_158,6,13,0,0,0,0
66,nrf_159,7,15,12,1,4,4
67,nrf_16,5,4,3,1,0,0
68,nrf_160,3,1,0,0,0,0
69,nrf_161,6,8,6,2,4,4
70,nrf_162,6,9,4,1,0,0
71,nrf_163,6,10,6,2,3,3
72,nrf_164,3,1,0,0,0,0
73,nrf_165,5,7,3,2,3,3
74,nrf_166,4,2,2,0,0,0
75,nrf_167,6,11,6,1,4,4
76,nrf_168,6,10,8,2,3,3
77,nrf_169,4,2,2,0,0,0
78,nrf_17,5,5,4,1,0,0
79,nrf_170,6,9,8,4,3,0
80,nrf_171,6,11,6,5,4,4
81,nrf_172,6,11,4,4,4,0
82,nrf_173,3,1,0,0,0,0
83,nrf_174,6,8,8,5,0,0
84,nrf_175,3,0,0,0,0,0
85,nrf_176,5,7,3,2,0,0
86,nrf_177,7,16,13,5,4,4
87,nrf_178,6,8,6,2,4,4
88,nrf_179,6,12,6,5,4,4
89,nrf_18,5,3,5,3,0,0
90,nrf_180,6,10,6,2,4,4
91,nrf_181,4,2,2,0,0,0
92,nrf_182,10,56,28,5,7,7
93,nrf_183,6,10,0,0,0,0
94,nrf_184,6,8,6,2,4,0
95,nrf_185,9,39,17,4,0,0
96,nrf_186,4,4,0,0,0,0
97,nrf_187,6,6,8,4,3,3
98,nrf_188,3,0,1,1,0,0
99,nrf_189,6,9,8,2,0,0
100,nrf_19,5,5,4,0,0,0
101,nrf_190,8,20,20,14,8,8
102,nrf_191,7,16,13,5,4,4
103,nrf_192,5,5,3,2,0,0
104,nrf_193,4,4,0,0,0,0
105,nrf_194,7,12,12,3,4,4
106,nrf_195,6,13,0,0,0,0
107,nrf_196,4,2,2,0,0,0
108,nrf_197,8,30,12,1,6,6
109,nrf_198,4,3,0,0,0,0
