,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,SIL2_1,7,16,13,6,4,0
1,SIL2_10,11,94,24,0,9,0
2,SIL2_100,13,127,73,48,11,0
3,SIL2_101,5,4,0,0,0,0
4,SIL2_102,9,54,20,12,12,0
5,SIL2_103,10,46,28,1,8,0
6,SIL2_104,13,106,80,45,21,7
7,SIL2_105,13,127,87,26,16,0
8,SIL2_106,12,86,51,4,10,0
9,SIL2_107,16,229,126,11,20,10
10,SIL2_108,10,81,20,4,5,5
11,SIL2_109,11,83,29,18,12,4
12,SIL2_11,8,29,18,0,9,3
13,SIL2_110,10,31,34,9,6,6
14,SIL2_111,11,79,48,16,12,0
15,SIL2_112,11,46,36,0,13,3
16,SIL2_113,12,82,58,26,14,6
17,SIL2_114,17,273,144,0,48,9
18,SIL2_115,12,96,62,4,18,4
19,SIL2_116,14,125,97,27,16,7
20,SIL2_117,13,132,71,6,8,8
21,SIL2_118,13,146,76,56,16,7
22,SIL2_119,14,122,95,83,17,7
23,SIL2_12,9,40,22,18,6,6
24,SIL2_120,11,69,36,24,12,0
25,SIL2_121,8,20,20,14,6,0
26,SIL2_122,12,96,63,43,10,5
27,SIL2_123,13,106,60,0,16,8
28,SIL2_124,14,184,56,20,27,0
29,SIL2_125,9,56,16,4,11,0
30,SIL2_126,13,120,63,48,18,9
31,SIL2_127,8,35,6,6,6,0
32,SIL2_128,8,20,20,12,4,4
33,SIL2_129,10,60,24,0,8,0
34,SIL2_13,12,122,48,40,7,7
35,SIL2_130,10,48,39,6,11,0
36,SIL2_131,8,23,15,6,0,0
37,SIL2_132,10,55,30,6,14,0
38,SIL2_133,13,160,56,31,15,5
39,SIL2_134,11,60,47,40,14,0
40,SIL2_135,10,62,6,5,8,0
41,SIL2_136,9,56,16,8,7,0
42,SIL2_137,11,54,47,23,0,0
43,SIL2_138,10,56,15,15,3,0
44,SIL2_139,8,39,12,9,0,0
45,SIL2_14,7,15,12,0,0,0
46,SIL2_140,11,55,44,28,6,0
47,SIL2_141,11,66,48,13,0,0
48,SIL2_142,16,226,128,0,32,10
49,SIL2_143,8,30,18,6,0,0
50,SIL2_144,8,9,16,11,3,3
51,SIL2_145,12,78,53,12,7,7
52,SIL2_146,10,59,32,15,14,6
53,SIL2_147,14,153,102,82,18,8
54,SIL2_148,7,31,0,0,0,0
55,SIL2_149,13,129,56,36,0,0
56,SIL2_15,9,45,23,4,7,0
57,SIL2_150,15,139,71,0,32,0
58,SIL2_151,10,57,32,24,7,0
59,SIL2_152,11,68,38,19,14,8
60,SIL2_153,10,51,36,24,6,0
61,SIL2_154,13,114,70,48,21,0
62,SIL2_155,13,126,74,33,17,8
63,SIL2_156,12,100,66,39,20,7
64,SIL2_157,7,11,8,8,6,2
65,SIL2_158,11,93,36,34,8,0
66,SIL2_159,10,55,33,15,12,6
67,SIL2_16,11,60,49,30,6,0
68,SIL2_160,8,27,18,10,0,0
69,SIL2_161,9,84,0,0,8,0
70,SIL2_162,11,56,51,36,12,5
71,SIL2_163,13,109,81,27,14,0
72,SIL2_164,12,56,54,20,3,0
73,SIL2_165,12,85,59,12,15,7
74,SIL2_166,12,77,48,0,19,0
75,SIL2_167,12,90,43,5,0,0
76,SIL2_168,10,54,23,8,9,0
77,SIL2_169,12,101,59,15,8,8
78,SIL2_17,11,79,48,20,0,0
79,SIL2_170,13,114,69,24,16,0
80,SIL2_171,7,22,9,5,0,0
81,SIL2_172,8,28,14,6,5,0
82,SIL2_173,9,29,17,9,0,0
83,SIL2_174,11,87,49,24,0,0
84,SIL2_175,13,182,36,5,31,0
85,SIL2_176,11,80,49,26,13,0
86,SIL2_177,10,65,31,5,0,0
87,SIL2_178,4,1,0,0,0,0
88,SIL2_179,16,269,130,69,19,0
89,SIL2_18,12,106,62,35,14,0
90,SIL2_180,14,146,100,46,9,9
91,SIL2_181,10,61,30,10,7,0
92,SIL2_182,13,131,53,6,26,8
93,SIL2_183,13,99,80,31,15,7
94,SIL2_184,14,116,84,14,6,6
95,SIL2_185,9,36,24,9,7,0
96,SIL2_186,10,46,37,18,11,4
97,SIL2_187,13,162,60,30,10,0
98,SIL2_188,11,67,38,4,21,0
99,SIL2_189,10,38,36,7,8,0
100,SIL2_19,9,30,20,9,3,0
101,SIL2_190,12,67,60,44,7,0
102,SIL2_191,8,20,18,0,4,0
103,SIL2_192,13,100,79,30,12,8
104,SIL2_193,9,36,10,0,0,0
105,SIL2_194,12,72,53,14,7,7
106,SIL2_195,14,126,87,21,12,0
107,SIL2_196,10,38,36,11,5,0
108,SIL2_197,16,205,92,50,11,0
109,SIL2_198,12,78,53,33,8,0
110,SIL2_199,12,133,30,23,16,0
111,SIL2_2,14,133,86,68,17,6
112,SIL2_20,14,166,92,74,8,4
113,SIL2_200,12,122,60,26,22,7
114,SIL2_201,12,77,64,47,22,6
115,SIL2_202,13,125,69,12,19,0
116,SIL2_203,14,132,98,6,7,7
117,SIL2_204,9,45,25,9,4,0
118,SIL2_205,12,77,56,33,0,0
119,SIL2_206,7,23,5,2,5,5
120,SIL2_207,10,67,32,20,7,0
121,SIL2_208,9,28,18,12,3,0
122,SIL2_209,11,79,48,24,10,5
123,SIL2_21,12,101,46,28,9,9
124,SIL2_210,14,130,42,30,0,0
125,SIL2_211,12,91,64,26,6,6
126,SIL2_212,8,21,10,5,5,0
127,SIL2_213,11,72,43,19,7,0
128,SIL2_214,13,146,60,33,10,0
129,SIL2_215,12,111,50,36,10,5
130,SIL2_216,14,196,72,11,18,7
131,SIL2_217,12,81,56,33,12,6
132,SIL2_218,12,94,58,26,13,0
133,SIL2_219,12,158,30,12,15,0
134,SIL2_22,8,36,10,8,6,6
135,SIL2_220,11,75,44,4,6,6
136,SIL2_221,13,118,70,15,15,7
137,SIL2_222,7,13,12,9,0,0
138,SIL2_223,13,136,61,17,9,0
139,SIL2_224,10,56,24,15,5,0
140,SIL2_225,12,73,71,29,17,5
141,SIL2_226,10,66,32,11,5,0
142,SIL2_227,8,14,12,8,7,3
143,SIL2_228,12,88,54,12,21,7
144,SIL2_229,12,75,57,25,12,8
145,SIL2_23,9,26,25,18,0,0
146,SIL2_230,14,120,93,48,6,6
147,SIL2_231,13,139,45,9,20,0
148,SIL2_232,9,38,24,0,6,6
149,SIL2_233,12,70,58,43,11,0
150,SIL2_234,12,122,46,11,9,9
151,SIL2_235,13,103,80,56,21,7
152,SIL2_236,13,150,54,5,10,0
153,SIL2_237,13,126,73,39,15,0
154,SIL2_238,14,164,50,1,0,0
155,SIL2_239,9,40,5,0,0,0
156,SIL2_24,13,119,49,22,0,0
157,SIL2_240,8,36,10,0,6,0
158,SIL2_241,10,59,36,27,12,6
159,SIL2_242,11,69,40,22,13,0
160,SIL2_243,13,124,71,53,8,8
161,SIL2_244,11,77,50,30,0,0
162,SIL2_245,11,58,36,16,13,7
163,SIL2_246,12,82,57,36,11,5
164,SIL2_247,9,59,15,1,12,0
165,SIL2_248,10,59,33,18,12,0
166,SIL2_249,11,75,36,8,7,7
167,SIL2_25,8,14,12,9,3,3
168,SIL2_250,11,56,35,19,5,0
169,SIL2_251,13,156,75,19,16,7
170,SIL2_252,10,50,40,15,6,0
171,SIL2_253,13,125,70,25,7,7
172,SIL2_254,10,60,32,5,9,0
173,SIL2_255,10,60,36,13,12,6
174,SIL2_256,11,95,39,12,8,0
175,SIL2_257,12,73,57,57,9,0
176,SIL2_258,11,83,39,8,8,8
177,SIL2_259,9,9,4,2,3,3
178,SIL2_26,14,121,50,16,0,0
179,SIL2_260,13,131,76,42,16,6
180,SIL2_261,10,59,32,16,0,0
181,SIL2_262,9,51,20,6,12,0
182,SIL2_263,14,186,54,10,11,0
183,SIL2_264,10,57,37,11,0,0
184,SIL2_265,11,79,40,0,14,6
185,SIL2_266,13,144,72,36,9,9
186,SIL2_267,8,24,16,7,5,0
187,SIL2_268,12,94,54,16,15,0
188,SIL2_269,13,98,72,5,22,0
189,SIL2_27,12,124,34,20,24,0
190,SIL2_270,10,47,36,17,6,0
191,SIL2_271,14,171,90,63,8,8
192,SIL2_272,14,122,72,41,10,10
193,SIL2_273,12,89,35,0,10,0
194,SIL2_274,11,54,44,12,5,0
195,SIL2_275,11,67,47,11,5,5
196,SIL2_276,10,38,26,6,12,6
197,SIL2_277,10,15,4,4,2,0
198,SIL2_278,10,67,30,12,13,0
199,SIL2_279,8,33,12,12,9,0
200,SIL2_28,13,127,87,54,26,6
201,SIL2_280,8,27,10,1,12,0
202,SIL2_281,11,65,41,24,8,4
203,SIL2_282,14,156,75,25,10,0
204,SIL2_283,11,94,40,8,6,6
205,SIL2_284,14,151,85,36,19,0
206,SIL2_285,13,100,69,21,18,8
207,SIL2_286,11,58,36,0,12,6
208,SIL2_287,14,120,82,52,14,0
209,SIL2_288,11,67,32,0,14,7
210,SIL2_289,10,55,32,12,7,7
211,SIL2_29,12,77,59,32,15,0
212,SIL2_290,10,49,38,7,12,4
213,SIL2_291,7,6,11,7,5,0
214,SIL2_292,14,153,102,73,17,9
215,SIL2_293,13,116,86,43,26,5
216,SIL2_294,11,66,39,33,7,7
217,SIL2_295,10,68,20,0,8,0
218,SIL2_296,13,98,66,21,13,9
219,SIL2_297,13,103,77,21,17,0
220,SIL2_298,13,116,63,42,9,9
221,SIL2_299,12,119,48,46,14,5
222,SIL2_3,11,76,48,27,12,5
223,SIL2_30,10,55,34,6,17,4
224,SIL2_300,12,80,55,27,6,0
225,SIL2_301,10,57,29,5,7,0
226,SIL2_302,13,143,54,28,3,0
227,SIL2_303,12,116,62,27,15,6
228,SIL2_304,16,229,126,102,20,10
229,SIL2_305,10,58,29,24,10,0
230,SIL2_306,11,71,34,22,8,0
231,SIL2_307,9,21,24,21,2,0
232,SIL2_308,8,30,18,6,0,0
233,SIL2_309,12,71,63,10,7,0
234,SIL2_31,11,58,45,26,13,6
235,SIL2_310,8,56,0,0,7,0
236,SIL2_311,9,14,0,0,4,4
237,SIL2_312,13,148,76,35,17,0
238,SIL2_313,12,173,0,0,11,0
239,SIL2_314,12,96,60,52,20,6
240,SIL2_315,15,215,108,78,0,0
241,SIL2_316,7,19,12,0,0,0
242,SIL2_317,9,34,11,11,4,0
243,SIL2_318,10,63,24,4,14,0
244,SIL2_319,10,58,34,16,4,4
245,SIL2_32,11,72,45,7,7,7
246,SIL2_320,9,33,19,15,0,0
247,SIL2_321,11,93,24,3,6,0
248,SIL2_322,12,121,41,25,14,0
249,SIL2_323,13,151,75,26,15,0
250,SIL2_324,10,38,36,3,6,0
251,SIL2_325,11,74,33,25,15,0
252,SIL2_326,11,69,42,27,0,0
253,SIL2_327,13,97,66,0,19,5
254,SIL2_328,13,142,75,29,6,0
255,SIL2_329,11,88,36,9,8,0
256,SIL2_33,11,93,41,15,8,0
257,SIL2_330,9,51,7,7,0,0
258,SIL2_331,11,66,41,11,12,0
259,SIL2_332,10,87,20,8,5,5
260,SIL2_333,10,65,30,14,4,4
261,SIL2_334,7,19,12,8,4,4
262,SIL2_335,9,30,25,10,5,5
263,SIL2_336,11,72,45,9,14,7
264,SIL2_337,10,48,38,12,12,0
265,SIL2_338,9,44,24,20,10,4
266,SIL2_339,9,56,16,4,0,0
267,SIL2_34,10,45,34,27,2,0
268,SIL2_340,11,70,38,18,14,0
269,SIL2_341,9,46,23,1,7,0
270,SIL2_342,12,96,62,2,15,0
271,SIL2_343,8,29,18,6,5,0
272,SIL2_344,12,75,46,28,8,8
273,SIL2_345,11,94,39,7,19,0
274,SIL2_346,13,119,40,0,10,0
275,SIL2_347,10,44,24,18,0,0
276,SIL2_348,7,15,12,0,4,0
277,SIL2_349,10,48,38,4,8,0
278,SIL2_35,3,1,0,0,2,0
279,SIL2_350,11,47,40,14,0,0
280,SIL2_351,11,94,7,6,0,0
281,SIL2_352,14,126,46,0,13,0
282,SIL2_353,12,96,58,18,8,0
283,SIL2_354,14,98,96,28,15,7
284,SIL2_355,10,48,38,19,6,0
285,SIL2_356,15,186,85,65,20,0
286,SIL2_357,8,21,8,0,10,2
287,SIL2_358,12,81,18,0,10,10
288,SIL2_359,11,91,36,22,14,0
289,SIL2_36,14,131,97,26,17,0
290,SIL2_360,10,45,29,20,0,0
291,SIL2_361,10,53,30,12,16,5
292,SIL2_362,8,38,0,0,12,0
293,SIL2_363,13,89,77,3,16,0
294,SIL2_364,14,130,107,15,16,7
295,SIL2_365,11,63,16,13,0,0
296,SIL2_366,11,69,47,33,13,0
297,SIL2_367,8,29,18,6,0,0
298,SIL2_368,15,179,76,55,21,10
299,SIL2_369,15,148,117,94,21,8
300,SIL2_37,11,88,36,8,14,0
301,SIL2_370,6,13,6,2,4,0
302,SIL2_371,13,100,80,53,11,0
303,SIL2_372,10,31,30,15,5,0
304,SIL2_373,9,28,24,21,10,0
305,SIL2_374,8,19,18,10,5,0
306,SIL2_375,13,98,66,17,8,8
307,SIL2_376,14,159,105,48,16,7
308,SIL2_377,11,65,36,31,10,0
309,SIL2_378,11,87,39,0,9,0
310,SIL2_379,14,150,85,70,25,7
311,SIL2_38,7,14,12,0,0,0
312,SIL2_380,12,90,70,23,18,7
313,SIL2_381,8,25,17,9,6,0
314,SIL2_382,11,71,48,11,21,6
315,SIL2_383,13,138,48,35,13,0
316,SIL2_384,12,75,63,36,12,6
317,SIL2_385,11,70,37,23,6,0
318,SIL2_386,10,55,30,20,6,6
319,SIL2_387,12,70,58,43,4,0
320,SIL2_388,14,123,104,54,14,7
321,SIL2_389,9,32,27,6,4,0
322,SIL2_39,11,47,40,14,0,0
323,SIL2_390,14,197,90,23,12,6
324,SIL2_391,13,124,88,30,14,7
325,SIL2_392,11,69,48,15,7,0
326,SIL2_393,13,135,51,42,9,0
327,SIL2_394,15,172,119,75,18,8
328,SIL2_395,12,71,65,26,6,6
329,SIL2_396,10,38,33,15,0,0
330,SIL2_397,8,23,9,0,0,0
331,SIL2_398,10,75,28,9,0,0
332,SIL2_399,11,75,45,37,0,0
333,SIL2_4,12,76,47,20,15,0
334,SIL2_40,11,64,33,13,16,0
335,SIL2_400,8,24,9,6,0,0
336,SIL2_401,10,45,27,2,0,0
337,SIL2_402,7,19,12,4,0,0
338,SIL2_403,12,91,49,31,7,0
339,SIL2_404,11,73,48,9,5,5
340,SIL2_405,13,91,52,19,0,0
341,SIL2_406,10,59,36,15,6,0
342,SIL2_407,11,54,52,12,6,0
343,SIL2_408,12,77,59,34,7,0
344,SIL2_409,10,78,8,8,8,0
345,SIL2_41,15,156,103,2,10,0
346,SIL2_410,12,71,54,1,14,0
347,SIL2_411,12,109,45,10,0,0
348,SIL2_412,14,118,96,69,11,8
349,SIL2_413,13,101,81,45,18,7
350,SIL2_414,12,95,52,41,17,8
351,SIL2_415,11,59,40,25,15,6
352,SIL2_416,12,75,57,31,3,0
353,SIL2_417,12,81,63,42,15,0
