"","ZEB1","miR141","miR34a","miR200a","SNAI2","TWIST1","ZEB2","GSC","miR101","SNAI1","TGFbeta","FOXC2","miR200b","miR200c","TWIST2"
"miR34a",0.152860058543442,0.152545351287246,0.155123953443757,0.194444251789655,0.162278884373245,0.212763555888161,-0.154122951288273,0.0432760775099411,0.00342010301591547,-0.16724097125281,-0.0436916899771016,-0.232819694547176,-0.0451015818048107,-0.194444251789655,-0.299658061419012
"SNAI2",-0.0466238179279807,-0.0466321909774788,0.028247265341733,0.0491426284245539,0.156937441352745,0.23436053186819,-0.146062609562181,-0.198667750551846,0.156188115698497,-0.145219114414357,0.198665184409528,-0.154899335639634,0.178444079746305,-0.0491426284245539,-0.285973652808026
"miR101",0.29229415328411,0.291373862910163,0.214044644265286,0.220096030869593,-0.0245592271404215,0.0908224582174082,-0.144951648664903,0.101912739702019,-0.0932517499111034,-0.0642626843733425,-0.102966593569962,-0.172350126817796,-0.202499184372664,-0.220096030869593,-0.124431105550461
"ZEB1",0.283642239922071,0.382813639419798,0.362252371390809,0.353927995531222,0.225574239109835,0.209684652636057,-0.116587975330789,0.154946068016218,0.0435425337515502,-0.145708159124198,-0.155683159320844,-0.19846691756866,-0.29121673423317,-0.353927995531222,-0.340910798478643
"FOXC2",0.382813639419798,0.380907423125653,0.360544557526852,0.352159840836497,0.224677979900677,0.207665416122526,-0.115982919874776,0.152975624666464,0.0433849265371688,-0.145060282067982,-0.154946068016218,-0.196386251261881,-0.290101297099908,-0.352159840836497,-0.338993460567644
"miR200a",0.324133462206397,0.322862542478909,0.220357653883618,0.199740348048611,0.265571514525079,0.170592689312781,-0.0752325992435761,0.176727556353986,0.116966689353128,-0.0358424487345862,-0.178140650468682,-0.129867507979684,-0.122447582259605,-0.199740348048611,-0.247701976452906
"ZEB2",-0.160866183605361,-0.160441659763844,-0.146720136532592,-0.0986727545881698,-0.098280717275041,-0.0695152335231454,-0.053398003879684,-0.0424198907595235,-0.037660679991803,0.0247841610508385,0.0428740441060501,0.0512178809719261,0.07794026940109,0.0986727545881698,0.122730269784863
"TWIST1",-0.168482845487258,-0.168109222589697,-0.0888758842341415,-0.0649371920674391,-0.263761420715374,-0.0669853252111385,-0.0420521496191162,-0.0126308782455722,-0.142850332295393,0.0475323239803771,0.0129115968852899,-0.128842867942917,-0.0227556923936573,0.0649371920674391,0.223383164203502
"TGFbeta",0.00943097830445515,0.00935347813972808,0.0493084629511627,0.0212855844213659,-0.183706515125938,-0.125335410976357,-0.0220879542715509,0.0176465844339955,-0.0791215632539769,0.0261569274950512,-0.117998265404506,0.0970197010725814,-0.14243421015462,-0.0212855844213659,0.140867272695863
"GSC",0.0898585205218248,0.0899140430477558,0.0948211265916211,0.0303758670986248,-0.117295225935193,0.210145041718738,0.0154495859424227,0.0288879236750485,-0.166080556876887,-0.115673642900696,-0.0289832008306153,-0.253196785198211,-0.0482743961131034,-0.0303758670986248,0.0114019740399672
"miR141",-0.246594460212605,-0.246213091729192,-0.22688665766915,-0.133951521710428,0.0915805174148341,-0.00467849045620331,0.0193442328654261,0.0223581839172544,0.0810555158133407,0.0720718008367636,-0.022070309292029,-0.00493704846495256,0.123496504169543,0.133951521710428,0.0548235755439622
"miR200b",-0.242283309602673,-0.241790862920209,-0.156560831854904,-0.139596691499741,-0.23026296211385,-0.142104050953502,0.0384214642408324,-0.148429436568301,-0.103895577944105,0.0251353869282705,0.149228557415919,0.108485586932157,0.0439685879419408,0.139596691499741,0.201090199769486
"miR200c",-0.328444612816328,-0.327284771287892,-0.290683479697864,-0.194095178259298,0.0562719650036048,-0.0331671288154814,0.0561553678681698,-0.00593993586843022,0.0679844044043179,0.0827788626430793,0.00684178376073405,0.0164448725825752,0.201975498487207,0.194095178259298,0.101435352227382
"SNAI1",-0.0888134605787523,-0.0886762015548989,-0.108852154316227,-0.0786831492648805,0.0967896715883166,-0.0234229124631273,0.0647555105841093,-0.0428951241952659,0.112561068094979,-0.0742040773765802,0.0429153460007162,0.118387359136394,0.0855105897147172,0.0786831492648805,0.00551297727472569
"TWIST2",0.174312835516059,0.17397334264453,0.0471382809977006,0.0257033994706221,-0.0201616391788818,-0.214068163909811,0.125719150168865,0.0340232054073741,0.0481990649760148,0.108237931200702,-0.0343429437312662,0.140752968562123,-0.033299436840424,-0.0257033994706221,0.0342863327891091
