"","ZEB2","miR34a","ZEB1","SNAI1","TWIST2","TWIST1","GSC","TGFbeta","miR101","miR200b","miR200c","miR200a","SNAI2","FOXC2","miR141"
"TWIST2",-0.131689565755012,0.153782167290059,0.193158320184443,0.0690456755526842,0.147444283974645,0.0643970866931603,-0.0206735240644054,-0.0205733582532039,-0.0626366987939869,-0.0138390523273146,-0.033362098291048,-0.033362098291048,0.0700928508148195,-0.0649448904975117,-0.192974501505299
"miR101",-0.094724709518669,-0.0376124919584109,-0.221327165538565,0.239041873285697,-0.0428016989136465,-0.237004777546657,-0.00693316071541187,-0.00684343359143009,-0.121227732831942,0.127360143808234,0.159286569022127,0.159286569022127,-0.0945781383288246,-0.1048952433456,0.221225214141081
"ZEB2",-0.0808863591184963,-0.0539341760227296,-0.0471284891594042,-0.0314340790723092,-0.018156098763843,-0.00130460869021994,0.00216461835045368,0.0023625175740798,0.00738216260941137,0.00920162483257748,0.0100541052266517,0.0100541052266517,0.0165203742997857,0.0292859624008698,0.0469727142914147
"SNAI1",-0.0549892344902504,0.10576878387716,-0.095742157579818,0.109478307155722,0.03327182043894,-0.194392226717584,-0.000237453635599046,-0.000256882429070971,-0.126881368367327,0.0322237127158932,0.0798190584084316,0.0798190584084316,-0.0543936393411652,-0.0874839261556371,0.0957653432257392
"SNAI2",-0.0285175908557147,0.0376609233202915,0.0612904417296531,-0.00294183847871822,0.0940182605925415,0.0955302884411189,-0.00684744258877278,-0.00710662296291633,-0.0267879516930973,-0.0024042695131715,-0.0172675997551793,-0.0172675997551793,-0.0388210402383263,-0.0383148080218987,-0.0611112584703934
"miR200a",-0.0283669721257676,0.252419041511028,0.266615999591573,0.123980523366142,0.08891611822638,0.0054711201495424,-0.0950076162994539,-0.0948941387500912,-0.0352488621852013,-0.110165107007195,-0.121620520498769,-0.121620520498769,-0.0549296792208071,-0.120063338734843,-0.26633275018399
"miR34a",-0.0274618795340802,0.087821402931311,0.254455286935541,-0.128983318903017,0.247680856714653,0.169017156359613,-0.0274082800454508,-0.0274549985271608,-0.00465787244416174,-0.0402136102771995,-0.178004589032608,-0.178004589032608,0.129855816336479,0.0492430874316476,-0.254221261749524
"miR200b",-0.0212528339133384,-0.0902279438285414,-0.224060784261037,0.214837407091936,-0.123715725973557,-0.112427975110365,-0.0895754781650712,-0.089390330584532,-0.0335788315799915,0.0787757975688278,0.123377510523799,0.123377510523799,-0.147506970464849,-0.150717849833864,0.223952483016961
"TWIST1",-0.017324251633867,0.06522063780162,0.232134473337746,-0.226618833438263,-0.0404932643793362,0.138207211219774,-0.00134563677632359,-0.00142183183567553,0.0891710606265917,-0.0862672285875036,-0.110022825974117,-0.110022825974117,-0.020454980919785,0.0095312387584942,-0.231994202700979
"ZEB1",-0.0081453120596831,0.248659939246728,0.198510503410314,-0.129188171032426,0.237114966975243,0.143459050403851,-0.00624445678721497,-0.00628540630413863,-0.00241987000177651,-0.226083444236549,-0.252358529322028,-0.252358529322028,0.130576789237059,0.0892289835665383,-0.298290946834394
"FOXC2",0.00809703793372613,-0.248407012684962,-0.298290946834394,0.129083523014271,-0.236795410656743,-0.143157359741327,0.00616143248877029,0.00624445678721497,0.00241394491852909,0.225953356034903,0.252143804152882,0.252143804152882,-0.13051265523472,-0.0892798820010259,0.297839221628555
"miR200c",0.0212528339133384,0.0902279438285414,0.224060784261037,-0.214837407091936,0.123715725973557,0.112427975110365,0.0895754781650712,0.089390330584532,0.0335788315799915,-0.0787757975688278,-0.123377510523799,-0.123377510523799,0.147506970464849,0.150717849833864,-0.223952483016961
"miR141",0.0283669721257676,-0.252419041511028,-0.266615999591573,-0.123980523366142,-0.08891611822638,-0.0054711201495424,0.0950076162994539,0.0948941387500912,0.0352488621852013,0.110165107007195,0.121620520498769,0.121620520498769,0.0549296792208071,0.120063338734843,0.26633275018399
"TGFbeta",0.0802833660602306,-0.165452069844918,-0.0258544421397354,-0.193208940370027,0.0438539418214259,0.0818590509501025,0.0100931679986305,-0.089751963317108,0.0502436730609626,0.0842364285089367,-0.0270968167366239,-0.0270968167366239,0.0953525883066871,0.121509023112031,0.0256997555761304
"GSC",0.124929512214291,-0.171268720952953,-0.217085034126493,-0.0554494822341502,-0.0730115550485314,-0.047846133362708,0.0139695139784866,0.0139398581750983,0.0703691607944981,0.0534055767562524,0.0553500184690032,0.0553500184690032,0.0237171606566834,0.147964172983896,0.216852134327455
