"","ZEB2","SNAI1","miR34a","miR200c","miR141","TWIST1","miR200a","miR200b","TWIST2","TGFbeta","GSC","miR101","ZEB1","SNAI2","FOXC2"
"TWIST1",-0.147938376646291,0.174156503373193,-0.135903490916626,0.00602099556978434,-0.1244480603632,0.204660231378863,0.136260837308405,0.0597197748321224,0.163924641290497,-0.00513990627311658,-0.00514391653939826,-0.0181436241128806,0.124818053336704,-0.104344399821148,0.0403245682851399
"miR101",-0.123425067000363,0.2145709149229,-0.0976847466635006,0.0635767455550201,0.00588633713498479,0.194880801679502,0.056930944280786,0.0716265131194156,-0.018268166327139,-0.0259679855187319,-0.0257762157831631,-0.225791028331939,-0.00598897048161614,0.135748771283343,-0.102127328056186
"SNAI1",-0.121469110781237,0.0662456339446029,-0.204294107120442,-0.00608146931347109,-0.125047248977495,0.172278685558393,0.124781390700871,0.136489906326858,-0.00869368857027722,-0.0338276970587408,-0.0338114403131826,-0.220062101010805,0.12522531473817,0.169581303567312,-0.0683585291912014
"TWIST2",-0.0886992394960179,-0.0609515161495578,0.0846593806489853,0.0880983235580262,0.0876926520346939,0.0796647866329723,-0.00198130217186894,-0.0830882781675243,0.171472415234319,0.0187713184982828,0.0189020433705289,0.18089439162931,-0.0877084833084958,-0.274333180060338,0.0623260475577733
"ZEB2",-0.0738869046109533,-0.0706499943956208,-0.0350891890980032,-0.0251605828479705,-0.0240086769360236,-0.0193084250895696,-0.00834410032660395,-0.00215447215130571,0.00192455867553867,0.00348414820803297,0.00372010497466411,0.0148016361250007,0.0251209990764599,0.0416775766779937,0.0481911103630475
"miR200c",-0.0369517063106017,0.210391705775565,-0.00642848684764985,0.0257141956890818,0.0170394102550534,0.0709538830608967,0.00908102177141827,-0.0275254327854486,0.0538924453650425,-0.0942682145963669,-0.0940806780147885,-0.046387041616799,-0.0167487556342003,-0.117421831797548,-0.154790107841641
"miR200b",-0.0369517063106017,0.210391705775565,-0.00642848684764985,0.0257141956890818,0.0170394102550534,0.0709538830608967,0.00908102177141827,-0.0275254327854486,0.0538924453650425,-0.0942682145963669,-0.0940806780147885,-0.046387041616799,-0.0167487556342003,-0.117421831797548,-0.154790107841641
"ZEB1",-0.0190419360257263,-0.107754245263228,0.0128837387608959,0.00779230946313602,0.004010413600499,-0.0151630712110838,0.00552743304936711,0.0130053777615504,0.0115587298390134,-0.00228796366459008,-0.00203842754583648,0.019281137681912,-0.104718207858944,0.0702052156016604,0.0979051161050904
"FOXC2",-0.018663739345683,-0.107794223157804,0.0136081980277819,0.00881963338560345,0.00514987174383365,-0.015082421231993,0.00531965316871032,0.0127996354284508,0.0121476642111248,-0.00203842754583648,-0.00250336361712667,0.0192704725320666,-0.004010413600499,0.0703922281967162,0.0978542176706028
"miR34a",-0.00964228001768306,0.191587586490255,-0.098291991947759,0.0438317864708444,-0.000701307913623864,0.0915192594156428,-0.0355737485644805,-0.0380154709682138,-0.0106274370816464,0.0111661682246353,0.0113463680826596,-0.0756472747056864,0.000403586356412727,-0.0298559524147691,-0.122060550672817
"miR200a",0.0124446810952929,-0.112887013159387,0.120225988983992,0.00340881001767987,0.0190541350279044,-0.0504030922881065,-0.0154537376089078,0.0135652869913551,-0.0867759197177166,0.0886479944324072,0.0889406470597111,0.0251286907022218,-0.0192226036298002,0.0635681111990991,0.0974294135664346
"SNAI2",0.0541928335911563,-0.00242302731841843,-0.0167104831711305,-0.0408713670831219,-0.027815861161912,-0.184272434932314,-0.0126462737490949,0.23571931897184,-0.342029072220376,-0.208631791529418,-0.20854539807137,-0.293008726854662,0.0277646180989835,0.283333441522561,-0.0696886882874811
"miR141",0.0555860547770356,-0.13833205753164,0.0985372323804964,-0.0333460139242015,-0.0119427390986116,-0.0580857092462878,-0.0208878873835082,-0.0219573259681265,-0.0856695077067161,0.0974125232371569,0.0976263388301667,0.0307838278746845,0.0106644141578533,0.075934511900494,0.11690621503858
"GSC",0.0699842015521235,-0.10596661941753,-0.00370369971653282,-0.0907087251225081,-0.106501312473551,0.0236412616622786,0.0170872845267298,-0.0135878136047371,0.0658514047829104,0.0198990321399449,0.0198264700678245,0.166554128373623,0.106343589191924,-0.125926163069407,0.178519134120046
"TGFbeta",0.116126891180457,-0.186059620736478,0.146398423687916,-0.0561762691842956,0.00162169118661999,-0.101464338109097,-0.0581692016052249,0.0546440911490554,-0.133804599844828,-0.0836266141304048,0.016339508344913,0.0543425464937647,-0.00133459543469582,0.078509555587661,0.111450779672333
