"","miR200c","miR200a","ZEB1","FOXC2","miR34a","miR101","TWIST2","SNAI2","TWIST1","SNAI1","GSC","TGFbeta","miR141","ZEB2","miR200b"
"miR200b",0.223748361600776,0.223748361600776,-0.195101867222301,0.108143398535712,-0.20076376267102,0.124236055644401,-0.00871346854157047,0.153551260687236,-0.0155060488196209,-0.0952873852470861,-0.170895574596485,-0.170748651032573,0.195093536357372,-0.25632000591074,-0.229817681158007
"miR200a",0.223748361600776,0.223748361600776,-0.195101867222301,0.108143398535712,-0.20076376267102,0.124236055644401,-0.00871346854157047,0.153551260687236,-0.0155060488196209,-0.0952873852470861,-0.170895574596485,-0.170748651032573,0.195093536357372,-0.25632000591074,-0.229817681158007
"miR141",0.223748361600776,0.223748361600776,-0.195101867222301,0.108143398535712,-0.20076376267102,0.124236055644401,-0.00871346854157047,0.153551260687236,-0.0155060488196209,-0.0952873852470861,-0.170895574596485,-0.170748651032573,0.195093536357372,-0.25632000591074,-0.229817681158007
"miR200c",-0.00297629222255758,-0.00297629222255758,0.201423675397188,0.104564581652192,0.0969067553264306,0.0973756866535024,0.0821234091032702,0.0729500972375699,-0.0193930454323304,-0.121665820798634,-0.0603954224044592,-0.0603153908696455,-0.201427378003823,-0.195496823501128,-0.0294901113915521
"TWIST2",-0.0280418227659046,-0.0280418227659046,0.205074606863337,-0.0667515526184373,0.126130000041475,-0.0134995618603429,0.103213359703415,0.0190987507546358,-0.164651726753383,0.00779128926988645,0.0337450638367248,0.0336675343670377,-0.205067130984041,-0.151422305580128,0.0147620120438101
"miR34a",0.162550868995647,0.162550868995647,-0.117593378563033,0.0660250728808669,-0.0773396585326476,0.0196200916748985,0.010967476282601,-0.0227701428359681,-0.0289410258222783,-0.0244802489064222,-0.0651166408920944,-0.0650201702610309,0.117603286887441,-0.125573353076199,-0.0714229018979329
"GSC",-0.0148133159532529,-0.0148133159532529,0.105084357136008,-0.120480709137109,0.100064299468023,-0.108967031190326,0.0327757798857743,-0.0320583969224869,-0.00170598770015592,0.0811384373457965,0.0171905145701862,0.0172403615588603,-0.10507256474112,-0.0719981743590444,0.0169311969600937
"TGFbeta",-0.0345018626215788,-0.0345018626215788,0.088111880261224,-0.092809171153034,0.142167467077215,-0.108367611417107,-0.0659322513312792,-0.117392748435045,0.0228727332090546,0.099730297186098,0.0176004065869515,-0.0823511969492168,-0.0880714044666905,-0.0200977085362968,0.126503231744416
"SNAI2",-0.0364574385661705,-0.0364574385661705,0.0429227206372992,-0.0374070921656082,0.0267862292561449,0.0200758464363331,0.0821466728854552,-0.0511467197399435,-0.0722150066498782,0.00374469241836919,0.0176017539513765,0.017751445586608,-0.0428909030492064,0.0308702004483649,0.0193534241179174
"SNAI1",-0.0760082636701133,-0.0760082636701133,0.090937921640105,-0.0898847321859377,0.0966360988122774,-0.103293931095104,4.02610841456282e-05,-0.0972876221839935,-0.0052097975252123,-0.0894086314917299,0.0178134964185379,0.0178019977448505,-0.0909456501887454,0.0526687643389691,0.0819762171926355
"ZEB1",-0.229175367327314,-0.229175367327314,0.0954165405026896,0.050134613141584,0.200148583641936,-0.032055637372314,0.0896580524658327,-0.115967840213961,-0.00458688000296131,-0.0493249364875346,0.103481118662907,0.103483678007714,-0.195434084977934,0.0768130173913343,0.237402606917694
"FOXC2",-0.229201412159151,-0.229201412159151,0.195434084977934,0.0500343586494115,0.200168728235351,-0.0321089631215408,0.0896131561235641,-0.115981313743864,-0.00460778925679965,-0.0493049475402467,0.103558608008122,0.103481118662907,-0.195428745436494,0.0768269369245857,0.237429362647111
"miR101",0.0453243580887039,0.0453243580887039,-0.205549899731994,0.0817586180625732,-0.137413371683744,0.106683395761269,-0.0350851147122673,0.119176022545856,0.00509243803478574,0.00464552234270986,-0.0330573264691077,-0.0330678826013408,0.205524326638979,0.117382819871126,-0.0588184698503542
"TWIST1",-0.0601443034164302,-0.0601443034164302,-0.0675596499560362,-0.00900122416408607,0.00237295802582014,-0.0254649588552257,0.0707351567061548,0.0282470890877814,-0.0922443835362065,0.0112485787795233,0.011199747973961,0.0111115221157641,0.0675656134027009,0.200968130394631,0.0343058219262999
"ZEB2",-0.223209300898221,-0.223209300898221,-0.0735451616145817,-0.0458307223638322,-0.04547608410659,-0.0430162266084086,-0.0400962186010488,-0.0360233811418205,0.00574589290959787,0.0498510226244331,0.061660923010721,0.0616812203669903,0.0735317241659053,0.20290175981273,0.228575732474943
