,Cycles,Nature,Edge_count
0,SNAIL1,N,1
1,"MIR-200,TGFB,SNAIL1,MIR-129,TWIST1,ZEB1",P,6
2,"MIR-200,TGFB,SNAIL1,TWIST1,ZEB1",P,5
3,"MIR-200,TGFB,SNAIL1,ZEB1",P,4
4,"MIR-200,TGFB,SNAIL1",P,3
5,"TWIST1,MIR-129",P,2
6,"TWIST1,SNAIL1,MIR-129",P,3
7,"TWIST1,SNAIL1",P,2
8,"TWIST1,ZEB1,MIR-190,TGFB,SNAIL1,MIR-129",P,6
9,"TWIST1,ZEB1,MIR-190,TGFB,SNAIL1",P,5
10,"TWIST1,ZEB1,MIR-34,SNAIL1,MIR-129",P,5
11,"TWIST1,ZEB1,MIR-34,SNAIL1",P,4
12,"GRHL2,ZEB1",P,2
13,"GRHL2,CD24,ZEB1",P,3
14,"HA,ZEB1,HAS2",P,3
15,"CD44s,ZEB1,ESRP1",P,3
16,"TGFB,SNAIL1,ZEB1,MIR-190",P,4
17,"ZEB1,MIR-340",P,2
18,"ZEB1,MIR-1199",P,2
19,"ZEB1,MIR-34,SNAIL1",P,3
20,"MIR-34,SNAIL1",P,2
