"","HA","CD44s","CD24","MIR200","MIR340","MIR190","ESRP1","TGFB","ZEB1","SNAIL1","MIR1199","HAS2","GRHL2","MIR34"
"MIR200",0.134167366666285,0.134167366666285,0.134167366666285,0.209725056527987,0.137043291070558,0.137043291070558,0.137043291070558,-0.187843113691446,-0.135075156112732,0.0116015109426613,-0.137043291070558,-0.137043291070558,-0.137043291070558,-0.209725056527987
"MIR34",0.115386674197381,0.115386674197381,0.115386674197381,0.110799898664797,0.114366266034116,0.114366266034116,0.114366266034116,-0.0679858140734458,-0.114859624667892,0.00519390079682942,-0.114366266034116,-0.114366266034116,-0.114366266034116,-0.110799898664797
"SNAIL1",0.114366266034116,0.114366266034116,0.114366266034116,0.111067343352373,0.114859624667892,0.114859624667892,0.114859624667892,-0.0682244775579327,-0.114561879027739,-0.0948060992031706,-0.114859624667892,-0.114859624667892,-0.114859624667892,-0.111067343352373
"MIR340",0.103845171117608,0.103845171117608,0.103845171117608,0.107385651336047,0.107374582882314,0.107374582882314,0.107374582882314,0.00442148382899281,-0.104988270410454,-0.0853441150940338,-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.107385651336047
"MIR1199",0.103845171117608,0.103845171117608,0.103845171117608,0.107385651336047,0.107374582882314,0.107374582882314,0.107374582882314,0.00442148382899281,-0.104988270410454,-0.0853441150940338,-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.107385651336047
"HA",0.103845171117608,0.103845171117608,0.103845171117608,0.107385651336047,0.107374582882314,0.107374582882314,0.107374582882314,0.00442148382899281,-0.104988270410454,-0.0853441150940338,-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.107385651336047
"ZEB1",-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.106463992349872,-0.104988270410454,-0.104988270410454,-0.104988270410454,-0.00493003676473021,0.00646593934620071,0.086360861505517,0.104988270410454,0.104988270410454,0.104988270410454,0.106463992349872
"GRHL2",-0.00999381096949951,-0.00999381096949951,-0.1099938109695,-0.00778811551688983,-0.0142435941438274,-0.0142435941438274,-0.0142435941438274,-0.00391491270445425,0.0115408914411247,0.0675241673370572,0.0142435941438274,0.0142435941438274,0.0142435941438274,0.00778811551688983
"CD44s",-0.103845171117608,-0.103845171117608,-0.103845171117608,-0.107385651336047,-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.00442148382899281,0.104988270410454,0.0853441150940338,0.107374582882314,0.107374582882314,0.107374582882314,0.107385651336047
"CD24",-0.103845171117608,-0.103845171117608,-0.103845171117608,-0.107385651336047,-0.107374582882314,-0.107374582882314,-0.107374582882314,-0.00442148382899281,0.104988270410454,0.0853441150940338,0.107374582882314,0.107374582882314,0.107374582882314,0.107385651336047
"HAS2",-0.210115798180314,-0.110115798180314,-0.110115798180314,-0.105938583552346,-0.103845171117608,-0.103845171117608,-0.103845171117608,-0.00519071459822358,0.107374582882314,0.0870227721683743,0.103845171117608,0.103845171117608,0.103845171117608,0.105938583552346
"ESRP1",-0.110115798180314,-0.0101157981803143,-0.110115798180314,-0.105938583552346,-0.103845171117608,-0.103845171117608,-0.103845171117608,-0.00519071459822358,0.107374582882314,0.0870227721683743,0.103845171117608,0.103845171117608,0.103845171117608,0.105938583552346
"MIR190",-0.114024276377218,-0.114024276377218,-0.114024276377218,-0.111060654857756,-0.115386674197381,-0.115386674197381,-0.115386674197381,0.168622756748605,0.114366266034116,-0.00532921879412306,0.115386674197381,0.115386674197381,0.115386674197381,0.111060654857756
"TGFB",-0.115386674197381,-0.115386674197381,-0.115386674197381,-0.110799898664797,-0.114366266034116,-0.114366266034116,-0.114366266034116,0.0679858140734458,0.114859624667892,-0.00519390079682942,0.114366266034116,0.114366266034116,0.114366266034116,0.110799898664797
