"","MIR200","ZEB1","TGFB","MIR340","MIR190","MIR1199","HAS2","ESRP1","HA","CD24","CD44s","MIR34","GRHL2","SNAIL1"
"ZEB1",-0.0752629472140513,-0.0641298160480561,-0.0567026854119118,-0.0346249573206971,-0.0346249573206971,-0.0346249573206971,-0.0346249573206971,-0.0346249573206971,-0.0304376543040379,-0.0304376543040379,0.0304376543040379,0.0335168456979765,0.0346249573206971,0.0867418402093063
"MIR200",0.171571790393229,-0.0622161456078901,0.265933657360165,0.0589984011530322,0.0589984011530322,0.0589984011530322,0.0589984011530322,0.0589984011530322,0.0574371850478556,0.0574371850478556,-0.0574371850478556,0.0323557003335351,-0.0589984011530322,-0.0976265647794272
"CD44s",0.0739956661080605,-0.0346249573206971,0.0567489174969788,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0302023601863908,0.0302023601863908,-0.0302023601863908,-0.0294269839468244,-0.0304376543040379,-0.0868614574341867
"CD24",0.0739956661080605,-0.0346249573206971,0.0567489174969788,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0304376543040379,0.0302023601863908,0.0302023601863908,-0.0302023601863908,-0.0294269839468244,-0.0304376543040379,-0.0868614574341867
"SNAIL1",-0.0513292758544628,-0.00772165432055295,-0.0665739257609841,0.00745226540803346,0.00745226540803346,0.00745226540803346,0.00745226540803346,0.00745226540803346,0.004985472239153,0.004985472239153,-0.004985472239153,-0.0606768765972052,-0.00745226540803346,-0.0847666766122632
"MIR34",-0.0528610045196707,-0.00745226540803346,-0.064982835864405,0.004985472239153,0.004985472239153,0.004985472239153,0.004985472239153,0.004985472239153,0.00600588040241831,0.00600588040241831,-0.00600588040241831,-0.0590478953183334,-0.004985472239153,0.0149804149405947
"MIR190",0.0509053330724738,0.004985472239153,0.162647379388821,-0.00600588040241831,-0.00600588040241831,-0.00600588040241831,-0.00600588040241831,-0.00600588040241831,-0.0106380329909742,-0.0106380329909742,0.0106380329909742,0.0583960048359344,0.00600588040241831,-0.014845096943301
"TGFB",0.0528610045196707,0.00745226540803346,0.064982835864405,-0.004985472239153,-0.004985472239153,-0.004985472239153,-0.004985472239153,-0.004985472239153,-0.00600588040241831,-0.00600588040241831,0.00600588040241831,0.0590478953183334,0.004985472239153,-0.0149804149405947
"GRHL2",-0.0136381548047429,0.0249429958338547,-0.0224986621036894,-0.0279062000018782,-0.0279062000018782,-0.0279062000018782,-0.0279062000018782,-0.0279062000018782,-0.03111521994984,-0.13111521994984,0.03111521994984,0.0358899674331188,0.0279062000018782,-0.0674842223316452
"HAS2",-0.0742241504949607,0.0304376543040379,-0.0644412251892865,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,0.0582464846980976,-0.0417535153019024,0.0417535153019024,0.0288938537107239,0.0302023601863908,0.0907783239409813
"ESRP1",-0.0742241504949607,0.0304376543040379,-0.0644412251892865,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,-0.0302023601863908,-0.0417535153019024,-0.0417535153019024,-0.0582464846980976,0.0288938537107239,0.0302023601863908,0.0907783239409813
"MIR340",-0.0739956661080605,0.0346249573206971,-0.0567489174969788,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0302023601863908,-0.0302023601863908,0.0302023601863908,0.0294269839468244,0.0304376543040379,0.0868614574341867
"MIR1199",-0.0739956661080605,0.0346249573206971,-0.0567489174969788,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0302023601863908,-0.0302023601863908,0.0302023601863908,0.0294269839468244,0.0304376543040379,0.0868614574341867
"HA",-0.0739956661080605,0.0346249573206971,-0.0567489174969788,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0304376543040379,-0.0302023601863908,-0.0302023601863908,0.0302023601863908,0.0294269839468244,0.0304376543040379,0.0868614574341867
