"","MIR340","MIR190","MIR1199","ESRP1","HA","CD44s","CD24","MIR129","TGFB","ZEB1","SNAIL1","TWIST1","MIR34","MIR200","HAS2","GRHL2"
"GRHL2",0.218799241969716,0.218799241969716,0.218799241969716,0.218799241969716,0.219308796109843,0.219308796109843,0.119308796109843,0.11627379646441,-0.00879249473099423,-0.219284464731074,-0.0880400473759695,-0.11627379646441,-0.19619531020059,-0.228980484602593,-0.218799241969716,-0.218799241969716
"TWIST1",0.193048054055629,0.193048054055629,0.193048054055629,0.193048054055629,0.193474012462043,0.193474012462043,0.193474012462043,-0.0199243287028552,-0.00404655615413831,-0.193378603812066,-0.0171315112550906,-0.00309850691049139,-0.0878908032163222,-0.101313139718623,-0.193048054055629,-0.193048054055629
"MIR340",0.13793209358951,0.13793209358951,0.13793209358951,0.13793209358951,0.137677208287895,0.137677208287895,0.137677208287895,0.096374107117701,-0.00173114594492141,-0.138498075120639,-0.0624703335259152,-0.096374107117701,-0.114554958603653,-0.125564186017616,-0.13793209358951,-0.13793209358951
"MIR1199",0.13793209358951,0.13793209358951,0.13793209358951,0.13793209358951,0.137677208287895,0.137677208287895,0.137677208287895,0.096374107117701,-0.00173114594492141,-0.138498075120639,-0.0624703335259152,-0.096374107117701,-0.114554958603653,-0.125564186017616,-0.13793209358951,-0.13793209358951
"HA",0.13793209358951,0.13793209358951,0.13793209358951,0.13793209358951,0.137677208287895,0.137677208287895,0.137677208287895,0.096374107117701,-0.00173114594492141,-0.138498075120639,-0.0624703335259152,-0.096374107117701,-0.114554958603653,-0.125564186017616,-0.13793209358951,-0.13793209358951
"CD44s",0.13793209358951,0.13793209358951,0.13793209358951,0.13793209358951,0.137677208287895,0.137677208287895,0.137677208287895,0.096374107117701,-0.00173114594492141,-0.138498075120639,-0.0624703335259152,-0.096374107117701,-0.114554958603653,-0.125564186017616,-0.13793209358951,-0.13793209358951
"ESRP1",0.137677208287895,0.137677208287895,0.137677208287895,0.137677208287895,0.14047619047619,0.24047619047619,0.14047619047619,0.0957348377113083,-0.00182776430240933,-0.13793209358951,-0.0631325851815443,-0.0957348377113083,-0.114871080837583,-0.124931941549755,-0.137677208287895,-0.137677208287895
"MIR200",0.101843415453958,0.101843415453958,0.101843415453958,0.101843415453958,0.101083921783071,0.101083921783071,0.101083921783071,0.123135378979371,0.00843395329221252,-0.101650127806795,-0.0731440835817038,-0.123135378979371,-0.0166804981942507,-0.190892999338749,-0.101843415453958,-0.101843415453958
"TGFB",0.00875069353784701,0.00875069353784701,0.00875069353784701,0.00875069353784701,0.0100360405815488,0.0100360405815488,0.0100360405815488,0.0847290133365976,-0.0606246153934435,-0.00908907811928,0.0155314326646498,-0.0847290133365976,0.0362066055244747,-0.0462748683099832,-0.00875069353784701,-0.00875069353784701
"MIR190",0.0100360405815488,0.0100360405815488,0.0100360405815488,0.0100360405815488,0.00853228118305257,0.00853228118305257,0.00853228118305257,0.0848609974984982,0.0388538104007717,-0.00875069353784701,0.0159956852180389,-0.0848609974984982,0.0353425049745926,-0.0469818596689777,-0.0100360405815488,-0.0100360405815488
"MIR34",-0.00875069353784701,-0.00875069353784701,-0.00875069353784701,-0.00875069353784701,-0.0100360405815488,-0.0100360405815488,-0.0100360405815488,-0.0847290133365976,0.0606246153934435,0.00908907811928,-0.0155314326646498,0.0847290133365976,-0.0362066055244747,0.0462748683099832,0.00875069353784701,0.00875069353784701
"SNAIL1",-0.00908907811928,-0.00908907811928,-0.00908907811928,-0.00908907811928,-0.00875069353784701,-0.00875069353784701,-0.00875069353784701,-0.0849873327409434,0.0606733720974903,0.00925072693722302,-0.115843208186274,0.0849873327409434,-0.0361795906663027,0.0466620812771152,0.00908907811928,0.00908907811928
"ZEB1",-0.138498075120639,-0.138498075120639,-0.138498075120639,-0.138498075120639,-0.13793209358951,-0.13793209358951,-0.13793209358951,-0.0961559706265823,0.00202382887175068,0.0380804322562197,0.0625028962090803,0.0961559706265823,0.115158139009428,0.125655576988188,0.138498075120639,0.138498075120639
"HAS2",-0.137677208287895,-0.137677208287895,-0.137677208287895,-0.137677208287895,-0.24047619047619,-0.14047619047619,-0.14047619047619,-0.0957348377113083,0.00182776430240933,0.13793209358951,0.0631325851815443,0.0957348377113083,0.114871080837583,0.124931941549755,0.137677208287895,0.137677208287895
"CD24",-0.13793209358951,-0.13793209358951,-0.13793209358951,-0.13793209358951,-0.137677208287895,-0.137677208287895,-0.137677208287895,-0.096374107117701,0.00173114594492141,0.138498075120639,0.0624703335259152,0.096374107117701,0.114554958603653,0.125564186017616,0.13793209358951,0.13793209358951
"MIR129",-0.193474012462043,-0.193474012462043,-0.193474012462043,-0.193474012462043,-0.193772075055188,-0.193772075055188,-0.193772075055188,0.0201074309785549,0.00430014871542318,0.193048054055629,0.0171726804605249,-0.097058396855199,0.0883527681069905,0.101374735037379,0.193474012462043,0.193474012462043
