"","SNAIL1","MIR200","TGFB","MIR340","MIR190","MIR1199","HAS2","CD44s","CD24","MIR129","ZEB1","HA","GRHL2","ESRP1","TWIST1","MIR34"
"MIR340",0.430087686887325,0.418864417279473,0.373106899176217,0.351398582223397,0.351398582223397,0.351398582223397,0.351398582223397,0.330413025723822,0.330413025723822,-0.212254860154618,-0.357266917046155,-0.330413025723822,-0.351398582223397,-0.351398582223397,-0.379960077741222,-0.418864417279473
"MIR1199",0.430087686887325,0.418864417279473,0.373106899176217,0.351398582223397,0.351398582223397,0.351398582223397,0.351398582223397,0.330413025723822,0.330413025723822,-0.212254860154618,-0.357266917046155,-0.330413025723822,-0.351398582223397,-0.351398582223397,-0.379960077741222,-0.418864417279473
"HA",0.430087686887325,0.418864417279473,0.373106899176217,0.351398582223397,0.351398582223397,0.351398582223397,0.351398582223397,0.330413025723822,0.330413025723822,-0.212254860154618,-0.357266917046155,-0.330413025723822,-0.351398582223397,-0.351398582223397,-0.379960077741222,-0.418864417279473
"CD44s",0.430087686887325,0.418864417279473,0.373106899176217,0.351398582223397,0.351398582223397,0.351398582223397,0.351398582223397,0.330413025723822,0.330413025723822,-0.212254860154618,-0.357266917046155,-0.330413025723822,-0.351398582223397,-0.351398582223397,-0.379960077741222,-0.418864417279473
"CD24",0.430087686887325,0.418864417279473,0.373106899176217,0.351398582223397,0.351398582223397,0.351398582223397,0.351398582223397,0.330413025723822,0.330413025723822,-0.212254860154618,-0.357266917046155,-0.330413025723822,-0.351398582223397,-0.351398582223397,-0.379960077741222,-0.418864417279473
"MIR200",0.398401922710887,0.41569423598618,0.486775857147581,0.268794010999184,0.268794010999184,0.268794010999184,0.268794010999184,0.257604137581463,0.257604137581463,-0.176865339104643,-0.273274770092489,-0.257604137581463,-0.268794010999184,-0.268794010999184,-0.349958879402519,-0.41569423598618
"MIR34",-0.240215136144293,-0.1319683870111,-0.0943955789713561,0.0745119221669281,0.0745119221669281,0.0745119221669281,0.0745119221669281,0.0769969264514182,0.0769969264514182,0.0782354637651266,-0.0757036243884964,-0.0769969264514182,-0.0745119221669281,-0.0745119221669281,0.215894203541589,0.1319683870111
"MIR190",0.239983009867598,0.130371110237075,0.196624123305164,-0.0769969264514182,-0.0769969264514182,-0.0769969264514182,-0.0769969264514182,-0.0737387810880097,-0.0737387810880097,-0.0783674479270272,0.0745119221669281,0.0737387810880097,0.0769969264514182,0.0769969264514182,-0.215850208820956,-0.130371110237075
"SNAIL1",0.14039900375961,0.131329035367696,0.0963295948985461,-0.0757036243884964,-0.0757036243884964,-0.0757036243884964,-0.0757036243884964,-0.0745119221669281,-0.0745119221669281,-0.0783722210968391,0.0746933192763525,0.0745119221669281,0.0757036243884964,0.0757036243884964,-0.216000570355143,-0.131329035367696
"TGFB",0.240215136144293,0.1319683870111,0.0943955789713561,-0.0745119221669281,-0.0745119221669281,-0.0745119221669281,-0.0745119221669281,-0.0769969264514182,-0.0769969264514182,-0.0782354637651266,0.0757036243884964,0.0769969264514182,0.0745119221669281,0.0745119221669281,-0.215894203541589,-0.1319683870111
"MIR129",0.102918944272424,-0.0763130670059545,-0.134235575850532,-0.263778185996322,-0.263778185996322,-0.263778185996322,-0.263778185996322,-0.260201434878587,-0.260201434878587,-0.10964352445863,0.267561698900356,0.260201434878587,0.263778185996322,0.263778185996322,-0.0088328127568634,0.0763130670059545
"ZEB1",-0.440996185747631,-0.428314243636629,-0.393952427631502,-0.357266917046155,-0.357266917046155,-0.357266917046155,-0.357266917046155,-0.351398582223397,-0.351398582223397,0.216648752332867,0.267728361479282,0.351398582223397,0.357266917046155,0.357266917046155,0.391957584752752,0.428314243636629
"TWIST1",0.0994195618105059,-0.0805323463407251,-0.138490295489867,-0.267561698900356,-0.267561698900356,-0.267561698900356,-0.267561698900356,-0.263778185996322,-0.263778185996322,-0.10820486372099,0.26956239479458,0.263778185996322,0.267561698900356,0.267561698900356,-0.104753314848914,0.0805323463407251
"HAS2",-0.414950506187231,-0.39810572391804,-0.360063420915348,-0.330413025723822,-0.330413025723822,-0.330413025723822,-0.330413025723822,-0.322016079158936,-0.322016079158936,0.206318787095258,0.351398582223397,0.222016079158936,0.330413025723822,0.330413025723822,0.363613045777752,0.39810572391804
"ESRP1",-0.414950506187231,-0.39810572391804,-0.360063420915348,-0.330413025723822,-0.330413025723822,-0.330413025723822,-0.330413025723822,-0.422016079158936,-0.322016079158936,0.206318787095258,0.351398582223397,0.322016079158936,0.330413025723822,0.330413025723822,0.363613045777752,0.39810572391804
"GRHL2",-0.451160685051021,-0.552448988320426,-0.516254545677488,-0.508503985155201,-0.508503985155201,-0.508503985155201,-0.508503985155201,-0.490669590250742,-0.590669590250742,0.232773814032538,0.51829666270262,0.490669590250742,0.508503985155201,0.508503985155201,0.40011051301716,0.552448988320426
