"","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TWIST1","MIR129","ZEB1","SNAIL1","TGFB","HA","CD44s","CD24"
"MIR340",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
"MIR200",0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0,0,-0.1,0.1,-0.1,-0.1,-0.1,-0.1
"MIR1199",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
"HA",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
"CD44s",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
"CD24",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
"TWIST1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
"SNAIL1",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0
"MIR190",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0
"GRHL2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,-0.1
"ZEB1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2
"TGFB",0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1
"MIR34",0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1
"MIR129",0,0,0,0,0,0,0,0,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"HAS2",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.2,0.1,0.2,0.1,0.2,0.2
"ESRP1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.2,0.1,0.2,0.2,0.1,0.2
