"","MIR34","TWIST1","MIR129","CD44s","MIR1199","HAS2","GRHL2","ZEB1","MIR200","TGFB","MIR340","MIR190","ESRP1","HA","CD24","SNAIL1"
"MIR129",0.128701854646482,-0.256757962224318,-0.00838631600118752,0.472121964679912,0.476294840983935,0.476294840983935,0.476294840983935,-0.490652144917787,-0.406423972859754,0.0922859985708037,-0.476294840983935,-0.476294840983935,-0.476294840983935,-0.472121964679912,-0.472121964679912,0.285402815562436
"SNAIL1",0.021256300187606,-0.180807585244185,-0.180807585244185,0.464782933444377,0.470770869298431,0.470770869298431,0.470770869298431,-0.47455951346897,-0.495489682299776,0.192047080143838,-0.470770869298431,-0.470770869298431,-0.470770869298431,-0.464782933444377,-0.464782933444377,0.278658732922366
"TGFB",0.0149078085171873,-0.184196128018839,-0.184196128018839,0.44995859754035,0.464782933444377,0.464782933444377,0.464782933444377,-0.470770869298431,-0.494508142452861,0.193656051377383,-0.464782933444377,-0.464782933444377,-0.464782933444377,-0.44995859754035,-0.44995859754035,0.385349915271075
"MIR190",0.003255543526352,-0.187495732066353,-0.187495732066353,0.429657845660651,0.44995859754035,0.44995859754035,0.44995859754035,-0.464782933444377,-0.488040480761318,0.294556952278284,-0.44995859754035,-0.44995859754035,-0.44995859754035,-0.429657845660651,-0.429657845660651,0.392267278316572
"GRHL2",0.408660644977573,0.210135669591069,0.210135669591069,0.346148163064393,0.340925233128088,0.340925233128088,0.340925233128088,-0.32588332752597,-0.20926958456509,-0.0553822724460768,-0.340925233128088,-0.340925233128088,-0.340925233128088,-0.346148163064393,-0.446148163064393,-0.334695415082373
"ESRP1",0.247627047167383,0.180241875771288,0.180241875771288,0.0888991960420532,0.154548051003885,0.154548051003885,0.154548051003885,-0.159051024665737,-0.073741819216039,-0.0491942360096518,-0.154548051003885,-0.154548051003885,-0.154548051003885,-0.188899196042053,-0.188899196042053,-0.308343082662725
"MIR1199",0.257742958653158,0.193483884903708,0.193483884903708,0.154548051003885,0.159051024665737,0.159051024665737,0.159051024665737,-0.137156475961537,-0.0692107338630358,-0.0519961683768016,-0.159051024665737,-0.159051024665737,-0.159051024665737,-0.154548051003885,-0.154548051003885,-0.311275911423368
"HA",0.257742958653158,0.193483884903708,0.193483884903708,0.154548051003885,0.159051024665737,0.159051024665737,0.159051024665737,-0.137156475961537,-0.0692107338630358,-0.0519961683768016,-0.159051024665737,-0.159051024665737,-0.159051024665737,-0.154548051003885,-0.154548051003885,-0.311275911423368
"ZEB1",-0.245441734014152,-0.190897409366157,-0.190897409366157,-0.159051024665737,-0.137156475961537,-0.137156475961537,-0.137156475961537,0.0371666623728645,0.0546430131538419,0.0565164935800536,0.137156475961537,0.137156475961537,0.137156475961537,0.159051024665737,0.159051024665737,0.318244325620698
"MIR340",-0.257742958653158,-0.193483884903708,-0.193483884903708,-0.154548051003885,-0.159051024665737,-0.159051024665737,-0.159051024665737,0.137156475961537,0.0692107338630358,0.0519961683768016,0.159051024665737,0.159051024665737,0.159051024665737,0.154548051003885,0.154548051003885,0.311275911423368
"CD44s",-0.257742958653158,-0.193483884903708,-0.193483884903708,-0.154548051003885,-0.159051024665737,-0.159051024665737,-0.159051024665737,0.137156475961537,0.0692107338630358,0.0519961683768016,0.159051024665737,0.159051024665737,0.159051024665737,0.154548051003885,0.154548051003885,0.311275911423368
"CD24",-0.257742958653158,-0.193483884903708,-0.193483884903708,-0.154548051003885,-0.159051024665737,-0.159051024665737,-0.159051024665737,0.137156475961537,0.0692107338630358,0.0519961683768016,0.159051024665737,0.159051024665737,0.159051024665737,0.154548051003885,0.154548051003885,0.311275911423368
"HAS2",-0.247627047167383,-0.180241875771288,-0.180241875771288,-0.188899196042053,-0.154548051003885,-0.154548051003885,-0.154548051003885,0.159051024665737,0.073741819216039,0.0491942360096518,0.154548051003885,0.154548051003885,0.154548051003885,0.0888991960420532,0.188899196042053,0.308343082662725
"MIR200",-0.15073293546907,0.0634185461228496,0.0634185461228496,-0.309336330835588,-0.320222406784956,-0.320222406784956,-0.320222406784956,0.313387052717129,0.342471063186403,-0.201058614590299,0.320222406784956,0.320222406784956,0.320222406784956,0.309336330835588,0.309336330835588,-0.0763625976658796
"MIR34",-0.0149078085171873,0.184196128018839,0.184196128018839,-0.44995859754035,-0.464782933444377,-0.464782933444377,-0.464782933444377,0.470770869298431,0.494508142452861,-0.193656051377383,0.464782933444377,0.464782933444377,0.464782933444377,0.44995859754035,0.44995859754035,-0.385349915271075
"TWIST1",-0.141575276266439,0.150324907831013,0.00192542141578339,-0.476294840983935,-0.490652144917787,-0.490652144917787,-0.490652144917787,0.488286104555922,0.411197610063327,-0.0910743896668871,0.490652144917787,0.490652144917787,0.490652144917787,0.476294840983935,0.476294840983935,-0.279872418965757
