"","MIR340","MIR190","GRHL2","ESRP1","TGFB","MIR34","TWIST1","SNAIL1","MIR129","ZEB1","MIR200","HA","CD44s","CD24","MIR1199","HAS2"
"GRHL2",0.340989883270405,0.340989883270405,0.340989883270405,0.340989883270405,0.312503099160395,0.307804500442707,0.0581745545661265,-0.0672500117111716,-0.0798127458024224,-0.342886663155716,-0.291489336181736,-0.340607717665309,-0.340607717665309,-0.440607717665309,-0.340989883270405,-0.340989883270405
"TWIST1",0.23891656924052,0.23891656924052,0.23891656924052,0.23891656924052,0.157863932797535,0.128265834967254,-0.0740089812126794,-0.0279253966705765,-0.174019373817351,-0.23945588726418,-0.114921544476921,-0.239492865908022,-0.239492865908022,-0.239492865908022,-0.23891656924052,-0.23891656924052
"MIR129",0.239492865908022,0.239492865908022,0.239492865908022,0.239492865908022,0.154792645110863,0.12891258581419,0.0266709351053122,-0.0266765974390683,-0.174830255324021,-0.23891656924052,-0.114983139795677,-0.235916114790287,-0.235916114790287,-0.235916114790287,-0.239492865908022,-0.239492865908022
"MIR340",0.234388038131452,0.234388038131452,0.234388038131452,0.234388038131452,0.222136751451506,0.176583960830147,0.0437275296285772,-0.044233797720479,-0.0618087362006782,-0.238171177839524,-0.20259759570286,-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.234388038131452,-0.234388038131452
"MIR1199",0.234388038131452,0.234388038131452,0.234388038131452,0.234388038131452,0.222136751451506,0.176583960830147,0.0437275296285772,-0.044233797720479,-0.0618087362006782,-0.238171177839524,-0.20259759570286,-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.234388038131452,-0.234388038131452
"CD44s",0.234388038131452,0.234388038131452,0.234388038131452,0.234388038131452,0.222136751451506,0.176583960830147,0.0437275296285772,-0.044233797720479,-0.0618087362006782,-0.238171177839524,-0.20259759570286,-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.234388038131452,-0.234388038131452
"MIR34",0.102143764107242,0.102143764107242,0.102143764107242,0.102143764107242,-0.021585599325867,0.138354768351214,0.0341102101749489,-0.0707434641359429,-0.114702405146991,-0.101893653764443,0.0322493694779513,-0.102058074304328,-0.102058074304328,-0.102058074304328,-0.102143764107242,-0.102143764107242
"TGFB",-0.102143764107242,-0.102143764107242,-0.102143764107242,-0.102143764107242,0.021585599325867,-0.138354768351214,-0.0341102101749489,0.0707434641359429,0.114702405146991,0.101893653764443,-0.0322493694779513,0.102058074304328,0.102058074304328,0.102058074304328,0.102143764107242,0.102143764107242
"MIR190",-0.102058074304328,-0.102058074304328,-0.102058074304328,-0.102058074304328,0.122865826921884,-0.139637826743464,-0.0369698670161279,0.067818673049592,0.116154230927898,0.102143764107242,-0.0336371673307923,0.0995518086401677,0.0995518086401677,0.0995518086401677,0.102058074304328,0.102058074304328
"SNAIL1",-0.101893653764443,-0.101893653764443,-0.101893653764443,-0.101893653764443,0.0206917264183422,-0.13933630819813,-0.0365262563685365,-0.0313909990505628,0.115629315950821,0.102580661240701,-0.033537077717483,0.102143764107242,0.102143764107242,0.102143764107242,0.101893653764443,0.101893653764443
"ZEB1",-0.238171177839524,-0.238171177839524,-0.238171177839524,-0.238171177839524,-0.21787658884988,-0.178027938165186,-0.0422005741907461,0.0439081708888281,0.0621515221152933,0.137427569812632,0.205796279672883,0.234388038131452,0.234388038131452,0.234388038131452,0.238171177839524,0.238171177839524
"MIR200",-0.172679880404082,-0.172679880404082,-0.172679880404082,-0.172679880404082,-0.363165927584099,-0.036469760666983,0.0446547397968228,-0.0621608370364849,-0.0924643947074796,0.174876330940016,0.24861332539156,0.175768487999018,0.175768487999018,0.175768487999018,0.172679880404082,0.172679880404082
"HAS2",-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.209093273190636,-0.176162464518239,-0.0383394017746959,0.0465043748254932,0.061717411999765,0.234388038131452,0.207339429211817,0.32591218305504,0.22591218305504,0.22591218305504,0.237871470586847,0.237871470586847
"ESRP1",-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.237871470586847,-0.209093273190636,-0.176162464518239,-0.0383394017746959,0.0465043748254932,0.061717411999765,0.234388038131452,0.207339429211817,0.22591218305504,0.12591218305504,0.22591218305504,0.237871470586847,0.237871470586847
"HA",-0.234388038131452,-0.234388038131452,-0.234388038131452,-0.234388038131452,-0.222136751451506,-0.176583960830147,-0.0437275296285772,0.044233797720479,0.0618087362006782,0.238171177839524,0.20259759570286,0.237871470586847,0.237871470586847,0.237871470586847,0.234388038131452,0.234388038131452
"CD24",-0.234388038131452,-0.234388038131452,-0.234388038131452,-0.234388038131452,-0.222136751451506,-0.176583960830147,-0.0437275296285772,0.044233797720479,0.0618087362006782,0.238171177839524,0.20259759570286,0.237871470586847,0.237871470586847,0.237871470586847,0.234388038131452,0.234388038131452
